Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
21292;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Friedrichstraße 4 a";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1898/99; Magnus Schlichting; dreigeschossiger Bau unter Kieler Dach, repräsentative Fassade in Putz mit Backsteinzierformen, Mittelachse durch Kastenerker auf Konsolen akzentuiert";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21292.jpg"
15139;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Friesenstraße 11";"Friedrich-Ebert-Krankenhaus: altes Hauptgebäude";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15139.jpg"
7474;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fritz-Reuter-Straße 2";"Villa Marggraff";"Villa Marggraf; 1913; Hans Roß für Major Marggraff; eingeschossiger Backsteinbau auf hohem Sockel unter Mansarddach mit Schopf, an den Langseiten zentrale Zwerchhäusern mit Dreiecksgiebel; Grundstückseinfriedung von 1921; im Garten ehem. Pferdestall  von 1913";"Geschichtlich, Künstlerisch, Städtebaulich";"Villa Marggraff, ehem. Pferdestall, Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/7474.jpg"
7473;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fritz-Reuter-Straße 6";"Villa Erbt";"Villa Erbt; 1913; Hans Roß für Studiendirektor Wilhelm Erbt; zweigeschossiger Backsteinbau unter geschweiftem Walmdach, Eingang ausgezeichnet durch in Fassadenrücksprung eingestellte Kolossalsäulen und Freitreppe; im Garten Backsteinremise";"Geschichtlich, Künstlerisch, Städtebaulich";"Villa Erbt, Remise";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/7473.jpg"
13575;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 3";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus, 1894, Maurermeister A. Behrens, dreigeschossiger Putzbau, traufständig mit Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13575.jpg"
15394;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 4";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus, 1891, Baugeschäft Wulff und Brockstedt, zweigeschossiger, teilverputzter Backsteinbau unter ausgebautem Mansarddach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15394.jpg"
7621;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 9";"Fachwerkgiebelhaus";"Fachwerkgiebelhaus; um 1750, 1981-1984 saniert und rekonstruiert; eingeschossiger Bau unter hohem Satteldach, zweistufig verbretterter Dreieckgiebel, Fachwerk mit Fußbändern; hofseitiger breiterer Anbau unter Mansarddach, Mitte 19. Jh.; an dessen Nordseite ehem. Schmiedewerkstatt von 1876";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/7621.jpg"
230;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 18";"Wohnhaus";"Wohngebäude; 1827; eingeschossiges Fachwerkhaus mit Walmdach, straßenseitiger Giebel mit Putzfassade";"Geschichtlich, Städtebaulich";"Wohnhaus, ";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/230.jpg"
15442;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 20";"Wohnhaus mit Werkstatt";"Wohnhaus mit Werkstatt, 1891/92, Baugeschäft Wulff und Brockstedt, für Zimmermeister C. Brockstedt, zweigeschossiger Backsteinbau mit ausgebautem Kieler Dach und westlichem Werkstattanbau";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15442.jpg"
15443;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Fürsthof 23";"Wohnhaus mit Bäckerei";"Wohnhaus mit Bäckerei, 1884, Zimmermeister C. Wulff, zweigeschossiger, traufständiger Putzbau unter Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15443.jpg"
13985;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Gartenallee 14";"Villa Simons";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13985.jpg"
15112;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Gartenstraße 9";"Theodor-Storm-Schule";"Theodor-Storm-Schule; ehem. Knabenschule; 1885/86; unregelmäßige Dreiflügelanlage, gotisierender zweigeschossiger Backsteinbau, Fassaden durch Glasurziegelgesimse und Backsteinfriese belebt, Hauptfassade gegliedert durch zwei regelmäßig angeordnete Risalite mit gotisierenden Giebeln; Turnhalle an Südostseite des Schulgrundstücks";"Geschichtlich, Städtebaulich";"Theodor-Storm-Schule, Turnhalle";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15112.jpg"
424;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Gartenstraße 10";"ehem. Wahlesche Fabrik";"ehem. Papierfabrik; 1850; 1872; 1911; langgestreckter drei- und viergeschossiger Backsteinfabriktrakt unter flachem Satteldach mit gleichmäßig gereihten Segmentbogenfenstern und südwestlichem Kesselhaus";"Geschichtlich, Städtebaulich, Technisch";"ehem. Wahlesche Fabrik, Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/424.jpg"
8897;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Geerdtsstraße 100";"Nissenhütte";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich";"gesamtes Objekt";""
29662;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Geerdtsstraße";"Stadion-Umkleidegebäude";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29662.jpg"
3452;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Goebenstraße 10";"ehem. Lehrlingsheim";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";""
15402;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Goebenstraße 20";"Bürgerstift";"Bürgerstift; 1928, Emil Wittig für den Bürgerverein Neumünster; zweigeschossiger backsteinverblendeter Kalksandsteinbau im ausklingenden Heimatstil mit kurzen Hofflügeln unter ausgebautem, gaubenbesetztem Walmdach, mittiges in Werkstein ausgeführtes Säulenportal";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15402.jpg"
15401;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Goebenstraße 43";"Mietwohnungshaus Goebenstraße 43 und Beethovenstraße 20";"Mietwohnungshaus, 1928, Emil Wittig, zwei winkelig zueinander gestellte zweigeschossige Backsteinbauten unter ausgebauten Walmdächern";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15401.jpg"
13697;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Goethestraße 24 - 28";"Pförtnerpavillon";"Alteintragung (Aktualisierung vorgesehen)";"";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13697.jpg"
8913;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 25 - 27";"ehem. Kaiserliches Postamt";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
8911;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 33";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1891/92, Magnus Schlichting; viergeschossiger Putzbau unter Kieler Dach mit überhöhtem Eck-Erkertürmchen, reiche Fassadenzier mit Renaissance-Elementen";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8911.jpg"
15428;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 37";"ehem. Volksbankgebäude";"ehem. Volksbankgebäude; 1953, Hans-Joachim Fritz; fünfgeschossiger Bau in Stahlbetonskelettbauweise mit Staffelgeschoss und Flugdach, sandsteinverblendete Fassade in Rasteraufteilung";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15428.jpg"
15429;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 39";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1906, Carl Otto Göttsche; viergeschossiger Backsteinbau unter Kieler Dach mit Putzziergliederung und zentralem Kastenerker";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15429.jpg"
15399;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 41";"Wohnhaus Renck";"Wohnhaus „Renck“; um 1875 für Tuchfabrikant Heinrich Renck; zweigeschossiger, verputzter Backsteinbau auf hohem Sockel in spätklassizistischer Manier unter Walmdach, zentraler Kastenerker im Obergeschoss";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15399.jpg"
15425;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 46";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1910/11, Gottfried Wiese; fünfgeschossiger Backsteinbau unter Satteldach mit Giebelaufsatz zwischen Fledermausgauben, asymmetrisch angelegte Fassade mit Polygonalerker und Balkonen";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15425.jpg"
13484;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 48";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1882; zweigeschossiger Backsteinbau mit Satteldach, historistische Putzfassade in Renaissanceformen, Mittelachse leicht vorspringend und durch stehenden Dacherker betont";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13484.jpg"
9921;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 57";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1903, durch Zimmermeister Gustav Jaacks Umbau eines Vorgängerbaus von 1780; zweigeschossiger Putzbau mit dreieckigem Fachwerkgiebel im Landhausstil, Mittelteil durch fachwerkgerahmte Doppelachse mit beschnitzten Ständern und Schwellen; rückwärtiger Saalbau v. 1894, 1903 erneuert";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9921.jpg"
2618;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 59 - 63";"Altes Rathaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2618.jpg"
8914;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken 66";"Cafe Oldehus";"ehem. Ackerbürgerhaus; im Kern Fachwerkbau des späten 18. Jhs., Umbauten 1913 und später; eingeschossiges Giebelhaus mit ausgebautem Walmdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8914.jpg"
6344;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Großflecken";"Kieler Brücke";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich, Technisch";"Alteintragung (Aktualisierung vorgesehen)";""
8916;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 3";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1896, Zimmermann H. Bracker;  giebelständiges, zweigeschossiges Haus unter Satteldach auf hohem Drempel mit Putz- und Verblendmauerwerk";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8916.jpg"
3453;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 10";"ehem. Gasthaus";"ehem. Gasthaus; verm. zweite Hälfte 18. Jahrhundert; eingeschossiger Fachwerkbau unter Krüppelwalmdach vom Typ des Mittelflurhauses";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3453.jpg"
8918;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 12";"Mietwohnungshaus";"Mietwohnungshaus; 1890, Zimmermeister Rudolf Pries; kubischer zweigeschossiger Backsteinbau unter ausgebautem, schiefergedecktem Satteldach, Fassade in Putz und Backstein gestaltet mit übergiebeltem Mittelrisalit";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8918.jpg"
8919;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 14 - 16";"Doppelwohnhaus";"Doppelwohnhaus; 1883, Zimmermeister C. Wulff; zweigeschossiger Putzbau unter Satteldach mit zentraler Hofdurchfahrt";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8919.jpg"
3454;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 32";"Caspar-von-Saldern-Haus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3454.jpg"
15437;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 36 a";"Mietwohnungshaus";"Mietwohnungshaus, 1890/91, Zimmermeister Rudolf Pries, dreigeschossiger Klinker- und Putzzierbau mit symmetrischer, durch zentralen Kastenerker auf Konsolen gegliederter Fassade";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15437.jpg"
44226;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haart 224";"Verwaltungsgebäude";"Verwaltungsgebäude; 1938, Theodor Speckbötel, Friedrich Last und Walter Beecken (HH); zweigeschossiges Backsteingebäude unter Walmdach mit Pfeilerportikus";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44226.jpg"
8937;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Haartallee 6";"Kleines Glückerthaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8937.jpg"
15446;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring 21";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1913; Ludwig Sievers; dreigeschossiger Backsteinbau unter ausgebautem Mansarddach, in der Mitte breiter Kastenerker mit Altan vor in der Dachzone aufragendem Zwerchgiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15446.jpg"
15119;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring 28";"Wohnhaus";"Wohnhaus; 1936; Emil Wittig; dreigeschossiger Backsteinbau über Terrakottasockel unter nach Süden abgewalmtem Satteldach, Fassade durch seitliche Polygonalerker gegliedert, portalmäßig gestalteter Eingang unter betonter Treppenhausfensterachse";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15119.jpg"
3456;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring 36";"Hansahaus";"Hansahaus; 1925-1928/29, August Silbertoff; Versammlungshaus des Vereins Arbeiterbund, zweigeschossiger Backsteinbau unter geschweiftem Walmdach, im Mittelteil konvex ausschwingende Fassade durch kolossale expressionistische Wandpfeiler und Attika gegliedert. Beidseitig anschließende Torbogendurchfahrten";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3456.jpg"
8921;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring 122";"ehem. Bauleitungsgebäude";"ehem. Bauleitungsgebäude, verm. 1930er, für ehem. Militärflugplatz, eingeschossiger Winkelbau in Backstein unter ausgebautem Satteldach mit Gauben, schlichte Fronten mit gleichmäßiger Fensterreihung";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8921.jpg"
15175;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring 146";"Bugenhagenkirche mit Ausstattung";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"Bugenhagenkirche mit Ausstattung, Glockenturm";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15175.jpg"
3455;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring u.a.";"Wohnblock Hansaring 35-47/Werderstraße 37-39";"Wohnblock; 1929/30; Carl Lembke; leicht geschwungene dreigeschossige Zeilenbebauung in Klinker unter Walmdach, hervorgehobene Eckbebauung durch überhöhte, sich durchdringende Flachdachkuben";"Geschichtlich, Städtebaulich";"gesamtes Äußeres";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3455.jpg"
3457;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring u.a.";"Wohnblock Hansaring 38-50/Werderstraße 29-35";"Wohnblock; 1924-1928 und 1949; August Silbertoff und Erich Marquardsen; viergeschossige Blockrandbebauung, Backsteinbau im Stil der Heimatschutzarchitektur unter Walmdach, die Endhäuser als Kopfbauten unter ausgebauten Mansarddächern, Fassade durch Rustizierungen und Lisenen belebt, Ecke zur Werderstraße durch abgerundete Eckausbildung, breiten Erker und Giebel architektonisch hervorgehoben; u-förmiges Hofgebäude";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohnblock Hansaring 38-50/Werderstraße 29-35, Hofgebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3457.jpg"
15094;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hansaring u.a.";"Wohnblock Hansaring 3-5/Warmsdorfer Straße 4";"Wohnblock; 1928/29; August Silbertoff; dreigeschossiger, u-förmiger Backsteinbau unter umlaufendem Satteldach, Hauptfassade leicht konkav geschwungen und durch im Dreieck vorstoßende zweigeschossige Standerker gegliedert";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15094.jpg"
10405;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 15";"Fabrikantenvilla";"Fabrikantenvilla; 1895, Architekt Ernst Hinsch; zweigeschossiger, kubischer Putzbau unter flachem, schiefergedeckten Zeltdach, Fassadengestaltung in Formen der Neorenaissance, Südwestecke mit eingestelltem Altan, übergiebeltes Portal an der Ostseite";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10405.jpg"
10407;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 17";"Fabrikantenvilla";"Fabrikantenvilla; 1895, Architekt Ernst Hinsch; zweigeschossiger, kubischer Putzbau unter flachem, schiefergedeckten Zeltdach, Fassadengestaltung in Formen der Neorenaissance, Südwestecke mit eingestelltem Altan, polygonaler Standerker, übergiebeltes Portal an der Ostseite";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10407.jpg"
13695;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 77";"Fachhallenhaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13695.jpg"
15154;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 86";"ehem. Hof Rixen";"ehem. Hof Rixen; 1924, Friedrich Wilhelm Hain sen./Gustav Hartz; Backsteinkomplex im Heimatstil, zusammengesetzt aus zwei parallel gestellten, durch straßenseitigen Querbau miteinander verbundenen giebelständigen Wirtschaftsgebäuden unter hohen Bohlendächern und einem diesen nach Westen traufenständig an der Straße angefügten, eingeschossigen Wohnteil; vor dem Wirtschaftsteil Feldsteinhofpflasterung";"Geschichtlich, Künstlerisch, Städtebaulich";"ehem. Hof Rixen, Hofpflasterung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15154.jpg"
5280;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 87";"Fachhallenhaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/5280.jpg"
44298;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße";"Ehrenmalanlage für die Gefallenen des Ersten Weltkrieges";"Ehrenmalanlage Erster Weltkrieg; 1921; Terrassenanlage mit fünf Pfeilern aus Bruchsteinmauerwerk, drei Inschriftenpfleiler, zwei flankierende Säuleneichen-Pflanzungen";"Geschichtlich, Städtebaulich";"Ehrenmalanlage für die Gefallenen des Ersten Weltkrieges, Terrassenanlage, Säuleneichen";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44298.jpg"
15830;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hebbelstraße 21";"Villa";"Villa; 1914; Emil Wittig für Rektor Breiholz; eingeschossiger Backsteinbau unter steilem ausgebautem Walmdach, Straßenfront mit barockisierendem Doppelsäulenportal und Zwerchhaus mit Dreiecksgiebel";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15830.jpg"
15240;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hebbelstraße 24";"Villa";"Villa; 1914; Emil Wittig; eingeschossiger giebelständiger Backsteinbau unter ausgebautem Satteldach, Straßenfassade mit zwei polygonalen Fenstererkern unter geschweiften Kupferabdeckungen";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15240.jpg"
15460;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hebbelstraße 27";"Villa";"Villa; 1936/37; Fritz Hain; eingeschossiger, giebelständiger Backsteinbau mit steilem Dreieckgiebel unter ausgebautem Satteldach, Straßenfassade mit friesartigen Ziegelmustern und stichbogigem Eingang";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15460.jpg"
15462;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hebbelstraße 30";"Landhaus Köster";"„Landhaus Köster“; 1938/39 u. 1949/50; Otto Lippelt für Fabrikdirektor Hans Köster; zweigeschossiger Backsteinbau unter ausgebautem Walmdach, an der Südseite Erker mit Werksteindetails, an der Westseite auf Rundbogenportal zuführende Freistufen, Grundstückseinfriedung aus Backstein";"Geschichtlich, Städtebaulich";"'Landhaus Köster', Einfriedungsmauer";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15462.jpg"
21337;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hinter der Kirche 6";"Wohnhaus";"Wohnhaus, 1870er, zweigeschossiger, traufenständiger Putzbau spätklassizistischer Prägung unter Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21337.jpg"
3459;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hinter der Kirche 10";"Gemeindehaus der Vicelinkirche";"Gemeindehaus der Vicelinkirche; ehem. Pastorat; 1789-1791; eingeschossiger, traufständiger Backsteinbau über Granitsockel mit Pilastergliederung unter ausgebautem Walmdach; ehem. Pastoratsgarten";"Geschichtlich, Kulturlandschaftlich, Städtebaulich";"Gemeindehaus der Vicelinkirche, Garten des ehem. Pastorats";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3459.jpg"
15463;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hinter der Kirche 11";"Pastorat West";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich";"Pastorat West, Pastoratsgarten";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15463.jpg"
3461;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Hinter der Kirche";"Vicelinkirche mit Ausstattung";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3461.jpg"
1555;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Holsatenring 58";"Zweifamilienhaus";"Alteintragung (Aktualisierung vorgesehen)";"Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1555.jpg"
15466;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Holsatenring 69";"Villa";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15466.jpg"
7321;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Holsatenring 71";"Villa";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/7321.jpg"
12748;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Holsatenring 75";"Villa Köster";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/12748.jpg"
13108;"Bauliche Anlage";"Stadt Neumünster";"Neumünster, Stadt";"Holsatenring 89";"Villa Bartram";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"Villa Bartram, Hofplatz mit Einfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13108.jpg"
