"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"II.3/1119/98"; "Airbag-Treibstoff 7-P001-23 A (Pellets)"; "BAM-PS-143"; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/1122/98"; "Airbag-Treibstoff 7-P001-23 A (Pulver)"; "BAM-PS-147"; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/1081/98"; "Treibladungspulver C 5740"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Kombinationsverpackung aus Kunststoffgefäß mit Außenverpackung aus Pappe in Kistenform (6HG2)

Die Nettoexplosivstoffmasse je Versandstück darf 7 kg nicht überschreiten."
"II.3/1083/98"; "Treibladungspulver V/NP 0705"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Densa-Verpackung (6HG2)

Die Nettoexplosivstoffmasse je Versandstück darf 7 kg nicht überschreiten."
"II.3/1085/98"; "Treibladungspulver S 5360"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Kombinationsverpackung aus Kunststoffgefäß mit Außenverpackung aus Pappe in Kistenform (6HG2).

Die Nettoexplosivstoffmasse je Versandstück darf 7 kg nicht überschreiten."
"II.3/1087/98"; "Treibladungspulver C 5650"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Kombinationsverpackung aus Kunststoffgefäß mit Außenverpackung aus Pappe in Kistenform (6HG2)

Die Nettoexplosivstoffmasse je Versandstück darf 7 kg nicht überschreiten."
"II.3/1089/98"; "Treibladungspulver C/S 0200"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Kombinationsverpackung aus Kunststoffgefäß mit Außenverpackung aus Pappe in Kistenform (6HG2)

Die Nettoexplosivstoffmasse je Versandstück darf 7 kg nicht überschreiten."
"II.3/1001/98"; "Sprengschnur Hexacord PT 150"; ""; "1.4D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:


Die Sprengschnur ist so auf eine Spule aufzuwickeln, daß die einzelnen Lagen einen Abstand von 20 mm untereinander haben und die Sprengschnur seitlich durch einen parallel aufgewickelten mit Silikonharz imprägnierten Glasseidenschlauch von 4 mm Dicke getrennt ist. Ein Wellpappekarton dient als Zwischenverpackung. Als Außenverpackung ist eine Kiste aus Pappe (4G) zu verwenden. Die Verpackung entspricht dem Zeichnungssatz K556 vom 25.09.1998.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"II.3/1002/98"; "Sprengschnur Hexacord PT 150"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:


Die Sprengschnur ist so auf eine Spule aufzuwickeln, daß die einzelnen Lagen einen Abstand von 20 mm untereinander haben und die Sprengschnur seitlich durch einen parallel aufgewickelten mit Silikonharz imprägnierten Glasseidenschlauch von 4 mm Dicke getrennt ist. Ein Wellpappekarton dient als Zwischenverpackung. Als Außenverpackung ist eine Kiste aus Pappe (4G) zu verwenden. Die Verpackung entspricht dem Zeichnungssatz K556 vom 25.09.1998.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"II.3/1003/98"; "Sprengschnur Octocord PT 165"; ""; "1.4D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:


Die Sprengschnur ist so auf eine Spule aufzuwickeln, daß die einzelnen Lagen einen Abstand von 20 mm untereinander haben und die Sprengschnur seitlich durch einen parallel aufgewickelten mit Silikonharz imprägnierten Glasseidenschlauch von 4 mm Dicke getrennt ist. Ein Wellpappekarton dient als Zwischenverpackung. Als Außenverpackung ist eine Kiste aus Pappe (4G) zu verwenden. Die Verpackung entspricht dem Zeichnungssatz K556 vom 25.09.1998.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"II.3/1004/98"; "Sprengschnur Octocord PT 165"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:


Die Sprengschnur ist so auf eine Spule aufzuwickeln, daß die einzelnen Lagen einen Abstand von 20 mm untereinander haben und die Sprengschnur seitlich durch einen parallel aufgewickelten mit Silikonharz imprägnierten Glasseidenschlauch von 4 mm Dicke getrennt ist. Ein Wellpappekarton dient als Zwischenverpackung. Als Außenverpackung ist eine Kiste aus Pappe (4G) zu verwenden. Die Verpackung entspricht dem Zeichnungssatz K556 vom 25.09.1998.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"II.3/0867/98"; "HNS-Percussion Initiator"; ""; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen: 
Je ein Gegenstand in einer leitfähigen Packtüte in einem Loch in dem Einsatz zur Einschlagverpackung

Zwischen: 
Zwei Einschlagverpackungen mit je 25 Gegenständen in einem Alfosack

Außen:
Je ein Alfosack in einer Kiste aus Pappe (4G)

Die Verpackung entspricht dem Zeichnungssatz K 781."
"II.3/0886/98"; "Airbag-Treibstoff 7-Z001-02 (Pellets)"; "BAM-PS-140"; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/0898/98"; "Airbag-Treibstoff 7-Z001-02 (Ringe)"; "BAM-PS-141"; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/0804/98"; "Electronic Igniter EIST"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:
                  Aufnahme-Block aus Multiplex-Siebdruckplatten
Zwischen:
                  Nicht erforderlich
Außen:
                  Kisten aus Stahl (4A)


Die Verpackung muß dem Zeichnungssatz K 787 vom 15.03.1995 entsprechen."
"II.3/0830/98"; "Sprengmomentzünder DYNAWELL 1015E HMX"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

              Innen:

                        25 Zünder in einem Aufnahmeblock aus Sperrholz 
                        mit Bohrungen

              Außen:

                        Ein Aufnahmeblock in einer Kiste aus Stahl (4A)

Die Verpackung entspricht dem Zeichnungssatz K 555."
"II.3/0904/98"; "Sprengmomentzünder DYNAWELL 1015E RDX"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

              Innen:

                        25 Zünder in einem Aufnahmeblock aus Sperrholz 
                        mit Bohrungen

              Außen:

                        Ein Aufnahmeblock in einer Kiste aus Stahl (4A)

Die Verpackung entspricht dem Zeichnungssatz K 555."
"II.3/0422/98"; "Sprengstoff THO-GUR"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0423/98"; "Treibladungspulver Nigu 7-Loch"; ""; "1.1C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/0471/98"; "Anzündpille T 45 mit Leitung"; ""; "1.4G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Innen:

                Faltschachtel aus Pappe

Zwischen:

                nicht erforderlich

Außen:

                bis zu 5 Faltschachteln in
                Kisten aus Pappe (4G)"
"II.3/0479/98"; "Sprengschnur Octocord T 190"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Die Sprengschnur ist auf bis zu 6 Polystyroleinlagen beidseitig festzulegen. Die einzelnen Polystyroleinlagen sind durch zwei Papplagen voneinander zu trennen. Drei Papplagen füllen den Zwischenraum zwischen den Polystyroleinlagen und einer Kiste aus Pappe als Außenverpackung aus. Die Verpackung entspricht dem Zeichnungssatz K 770 vom 02.03.1993, Änderung C vom 26.06.1997.

Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur, biegsam müssen befestigt sein."
"II.3/0650/98"; "Airbag-Treibstoff (Pellets) EP-1000, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2285/99"; "Airbag-Treibstoff (Pellets) EP-1001, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2286/99"; "Airbag-Treibstoff (Pellets) EP-1002, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2287/99"; "Airbag-Treibstoff (Pellets) EP-1003, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2288/99"; "Airbag-Treibstoff (Pellets) EP-1004, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2289/99"; "Airbag-Treibstoff (Pellets) EP-1005, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2290/99"; "Airbag-Treibstoff (Pellets) EP-1006, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2291/99"; "Airbag-Treibstoff (Pellets) EP-1007, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2292/99"; "Airbag-Treibstoff (Pellets) EP-1008, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/2293/99"; "Airbag-Treibstoff (Pellets) EP-1009, Maße: Durchmesser 4 bis 8 mm Höhe 1,5 bis 6 mm"; ""; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
"II.3/0003/98"; "Sprengschnur Octocord T 190"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"1943-BAM-II.31"; "Sprengstoff Hexoblast 50 oder Military Dynamite M1"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1835-BAM-II.31"; "Treibladungspulver S6380, US Benite Strands NSP"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1985-BAM-II.31"; "Anzündpille T 7 mit Leitung"; ""; "1.4G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
               bis zu 1000 Anzündpillen in einer
               Faltschachtel aus
                    Pappe
Zwischen:
                nicht erforderlich
Außen:
                bis zu 10 Faltschachteln in
                Kisten aus
                    Pappe (4G)"
"1941-BAM-II.33"; "Bolzenschneider SL 1056
mit Kartusche PC 154
HI-SHEAR BOLT CUTTER SL 1056
with PRESSURE CARTRIDGE PC 1540"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1902-BAM-II.31"; "Sprengschnur Dynacord 16"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/1808/00"; "Anzündverzögerer 1.5s"; "M 1764"; "1.4G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1865-BAM-II.31"; "Treibladungspulver TITEGROUP"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
Behälter aus Kunststoff
Zwischen:
nicht erforderlich
Außen:
Kisten aus Pappe (4G)

Eine Innenverpackung darf max. 500 g enthalten."
"1986-BAM-II.31"; "Anzündpille T 31"; ""; "1.4G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
                Bis zu 100 Anzündpillen in einer
                Halsschachtel aus
                    Pappe
Zwischen:
                 Abstandsstücke aus 
                    Styropor zwischen den einzelnen Schachteln
Außen:
                Bis zu 60 Halsschachteln in
                Kisten aus
                    Pappe (4G)"
"1840-BAM-II.31"; "Sprengkörper DIAMEX 165"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1843-BAM-II.31"; "Nichtelektrische Zündeinrichtung Nonel MS
Nichtelektrische Zündeinrichtung Nonel Unidet U-450
Nichtelektrische Zündeinrichtung Nonel Unidet U-475
Nichtelektrische Zündeinrichtung Nonel Unidet U-500
Nichtelektrische Zündeinrichtung Nonel SL 25
Nichtelektrische Zündeinrichtung Nonel SL 42
Nichtelektrische Zündeinrichtung Nonel SL 67
Nichtelektrische Zündeinrichtung Nonel SL 109
Nichtelektrische Zündeinrichtung Nonel SL 176
Nichtelektrische Zündeinrichtung Nonel LP"; ""; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
Bis zu 10 Zündeinrichtungen, deren Zünder in  Spezialzünderbehältern aus Kunststoff stecken, sind in vakuumverschlossenen Aluminiumbeuteln als Innenverpackung verpackt.
Die Abstände zwischen den Röhrchen zur Aufnahme der Zünder und ihre Wanddicke müssen mindestens denen der Spezialzünderbehälter gemäß Zeichnung Nr. TB 176 (s. Anlage zu diesem Bescheid) entsprechen. 
Zwischen:     nicht erforderlich
Außen:
Bis zu 10 Innenverpackungen sind in einer Kiste aus Pappe (4G) verpackt.

Die Ausrichtung der Innenverpackungen (Zünderbehälter jeweils auf eine Schmalseite der Außenverpackung gerichtet) ist alternierend."
"1854-BAM-II.31"; "Sekundärsprengstoffzünder PL 438"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1830-BAM-II.31"; "Prüfzünder PETN 0,6g
Prüfzünder PETN 0,175g
Prüfzünder PETN 0,25g
Prüfzünder PETN 0,45g
Prüfzünder 0,375g PETN"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"II.3/3059/99"; "Satzauslöser I, Typ 15
(Zeichnungsnummer Z 1193)"; ""; "1.4G"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1855-BAM-II.31"; "Anzündhütchen EL205
Anzündhütchen EL215
Anzündhütchen EL235
Anzündhütchen EL245
Anzündhütchen EL255
Anzündhütchen EL275"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1816-BAM-II.31"; "Sprengschnur Octocord PT 165
Sprengschnur Hexacord T 150
Sprengschnur HNS Cord PT 250
Sprengschnur Octocord PT 185"; ""; "1.4D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Die Sprengschnur ist auf bis zu 6 Polystyroleinlagen beidseitig festzulegen. Die einzelnen Polystyroleinlagen sind durch zwei Papplagen voneinander zu trennen. Drei Papplagen füllen den Zwischenraum zwischen den Polystyroleinlagen und einer Kiste aus Pappe als Außenverpackung aus. Die Verpackung entspricht dem Zeichnungssatz K 770 vom 02.03.1993, Änderung A vom 30.09.1993.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur, biegsam müssen befestigt sein."
"1817-BAM-II.31"; "Sprengschnur Octocord PT 165
Sprengschnur Hexacord PT 150"; ""; "1.4D"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Die Sprengschnur ist so auf eine Spule aufzuwickeln, daß die einzelnen Lagen einen Abstand von 20 mm untereinander haben und die Sprengschnur seitlich durch einen parallel aufgewickelten mit Silikonharz imprägnierten Glasseidenschlauch von 4 mm Dicke getrennt ist. Die Spulen sind durch zwei Papplagen voneinander zu trennen und, wie bei einzeln verpackten Spulen, allseitig von drei Papplagen zu umgeben. Als Außenverpackung ist eine Kiste aus Pappe zu verwenden. Die Verpackung entspricht dem Zeichnungssatz K779 vom 23.07.1993 bzw. der Zeichnung K 786 BL. 1 vom 19.04.1994.
Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlußeinrichtung, die so fest verschlossen ist, daß kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur, biegsam müssen befestigt sein."
"1815-BAM-II.31"; "Nichtelektrische Zündeinrichtung Nonel LP"; ""; "1.1B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1814-BAM-II.31"; "Treibladungspulver N 150
Treibladungspulver 20N29"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:            Behälter aus Kunststoff; 
                      Inhalt: ca. 1000 g
Zwischen:      nicht erforderlich
Außen:           Kisten aus 
                           Pappe (4G)"
"1803-BAM-II.31"; "Sprengmomentzünder Dynawell 1015E RDX
Sprengmomentzünder Dynawell 1015E HMX"; ""; "1.4B"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:        Kisten aus Pappe mit Pappröhren zur Aufnahme je
                  eines Zünders
Zwischen:  nicht erforderlich
Außen:       Kisten aus Pappe (4G)"
"1833-BAM-II.31"; "VECTAN-Schwarzpulverpreßling Kaliber 36
VECTAN-Schwarzpulverpreßling Kaliber 44/45"; ""; "1.4S"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:         Papprohr mit einer Mindestwand-
                   dicke von 1,75 mm zur Aufnahme 
                   von maximal 12 Preßlingen
Zwischen:  Kiste aus Pappe zur Aufnahme von 
                  4 Innenverpackungen
Außen:       Kiste aus Pappe (4G) zur Aufnahme 
                  von 10 Zwischenverpackungen"
"1799-BAM-II.31"; "Momentzünder 0-HU
Kurzzeitzünder DEM-HU
Langzeitzünder DED-HU
Langzeitzünder DEP-HU
Momentzünder 0-U
Kurzzeitzünder DEM-U
Langzeitzünder DED-U
Langzeitzünder DEP-U"; "BAM-ZEMHU-004
BAM-ZEVHU-009
BAM-ZEVHU-010
BAM-ZEVHU-011
BAM-ZEMU-014
BAM-ZEVU-015
BAM-ZEVU-012
BAM-ZEVU-014"; "1.4B"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1648-BAM-II.32"; "Treibladungspulver Vectan SP 2 PRACTICAL
Treibladungspulver Vectan SP 3
Treibladungspulver Vectan SP 7
Treibladungspulver Vectan SP 10
Treibladungspulver Vectan Ba 9
Treibladungspulver Vectan Ba 10
Treibladungspulver Vectan Tubal 2000
Treibladungspulver Vectan Tubal 3000
Treibladungspulver Vectan Tubal 5000
Treibladungspulver Vectan Tubal 7000
Treibladungspulver Vectan Tubal 8000"; ""; "1.3C"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:
Innen:
Zylinder aus Pappe mit Metallboden und -deckel, 
Volumen ca. 1200 ml, Nettomasse ca. 500 g
Außen:
Kisten aus Pappe (4G)"
"1792-BAM-II.31"; "Perforator BAKER 16 Gram D.P. Steel RDX
Perforator BAKER 16 Gram D.P. Steel HMX
Perforator BAKER 16 Gram D.P. Steel HNS
Perforator BAKER 16 Gram D.P. Zinc RDX
Perforator BAKER 16 Gram D.P. Zinc HMX"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"1794-BAM-II.31"; "Perforator BAKER 16 Gram D.P. Super Jet Steel RDX
Perforator BAKER 16 Gram D.P. Super Jet Steel HMX
Perforator BAKER 16 Gram D.P. Super Jet Steel HNS
Perforator BAKER 16 Gram D.P. Super Jet Zinc RDX
Perforator BAKER 16 Gram D.P. Super Jet Zinc HMX
Perforator BAKER 61 Gram G.P. Steel RDX
Perforator BAKER 61 Gram G.P. Steel HMX
Perforator BAKER 61 Gram G.P. Steel HNS
Perforator BAKER 61 Gram G.P. Zinc RDX
Perforator BAKER 61 Gram G.P. Zinc HMX
Perforator BAKER Shaped Charge 17 Gram D.P. Steel RDX
Perforator BAKER Shaped Charge 17 Gram D.P. Steel RDX
Perforator BAKER Shaped Charge 17 Gram D.P. Steel RDX
Perforator BAKER Shaped Charge 17 Gram D.P. Steel RDX
Perforator BAKER Shaped Charge 17 Gram D.P. Steel RDX"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Versandverpackung"
"3067-BAM-II.31"; "Airbag-Treibstoff 7-P855-00 (Pellets)"; "BAM-PS-095"; "1.3G"; "In folgender besonderen Verpackung:
 unten beschriebenen Verpackung
Verpackung:

Innen:
                 Behälter aus
                     Kunststoff
Zwischen:
                nicht erforderlich
Außen:
                Fässer aus
                    Pappe (1G)
                    Kunststoff mit abnehmbarem Deckel (1H2)
                Kisten aus
                    Naturholz, einfach (4C1)
                    Sperrholz (4D)
                    Holzfaserwerkstoffen (4F)
                    Pappe (4G)

Die Nettoexplosivstoffmasse je Versandstück darf 100 kg nicht überschreiten."
