Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
DKH - SPIELGARTEN;IN-NORD;Ökologie;Stadtentwicklung;718;A;;gestartet/läuft;"Erweiterung, Instandhaltung und Pflege des SPIELGARTENs des DKH

Sachstand 04/2018: Dieses Projekt ist nicht zu verwechseln mit dem Projekt Nr. 807 (Außengelände, Sportpark DKH). Es sind zwei unterschiedliche Bereiche. Der Spielgarten ist fertig gestellt. Jedoch sollte das Gartenprojekt für Kinder weitergeführt werden. Da das DKH keine finanzielle Unterstützung bekommen hat, ist die Weiterführung nach wie vor fraglich.

Sachstand 03/2020: Der Sachstand gilt unverändert weiter.

Sachstand 08/2021: Der Spielgarten ist fertig gestellt. Zusätzlich wurde zwischenzeitlich der Bau eine neuen Außenanlage beschlossen. Dieses Projekt befindet sich in der Vorplanungsphase.

Sachstand 07/2022: Der Spielgarten wird umfassend saniert, da ein Großteil der Spielgeräte abgängig sind. Der Austausch ist bereits über das Grünflächenamt veranlasst. Die Kosten belaufen sich auf ca. 250.000 €. Voraussichtliche Fertigstellung: 2023";Leopoldstraße;52;051;Nordmarkt-Süd;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393196.52999999974;578957.699999999;51.5216266571, 7.46055723724;Dortmund
Dortmund all inclusive - Ein Projekt zur Förderung des innerstädtischen Grenzverkehrs;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Identität und bürgerschaftliches Engagement;360;B;;umgesetzt/abgeschlossen;"2016/2017: 12 Gelegenheiten zu Begegnung und Austausch zwischen den Stadtteilen. http://www.dortmund-all-in.de/
2018: Drei mal im Jahr treffen sich Engagierte aus ""Nord"" und ""Süd"" um sich über ihre spezifischen Erfahrungen in Themenbereichen, wie z. B. Kultur, Sport und Politik auszutauschen.

Sachstand 01/2018: Das Projekt wurde am 17.09.2017 mit dem Dortmund Querbeet Festival abgeschlossen. Vorbehaltlich der Freigabe des Haushaltes wird das Projekt in leicht veränderter Konzeption auch in 2018 vom Planerladen durchgeführt und von MIA-DO-KI finanziert.";Rückertstraße;1;053;Nordmarkt-West;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;39357.21999999875;57997.31;51.5307019795, 7.45824260278;Dortmund
Dortmund blickt nordwärts – über die Stadtgrenze hinaus;Scharnhorst;Ökonomie;Stadtentwicklung;888;B (2);;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Zwischen Körnebach u. Seseke entsteht auf vorhandenen Wegen/Straßen ein durchgängiger Fuß-/Radweg.

Sachstand 04/2018: Das Projekt befindet sich in Vorbereitung (Projektskizze erstellt).

Sachstand 02/2020: Das Projekt soll weitergeführt werden. Die Gespräche mit dem Projektträger laufen.

Sachstand 07/2021: Das Projekt soll weitergeführt werden. Es gab Austauschgespräche mit dem Tiefbauamt und dem Stadtplanungs- und Bauordnungsamt.  

Sachstand 07/2022: Das Projekt soll weitergeführt werden. Es gab Austauschgespräche mit dem Tiefbauamt, der Fuß- und Radverkehrsplanung und der Bezirksvertretung Scharnhorst.

Sachstand 06/2023: Das Projekt ist weiter in Vorbereitung

Sachstand 03/2025: Das Projekt ist weiter in Vorbereitung. Es erfolgen Gespräche.";Rehkamp;4;241;Kurl-Nord;240;Kurl-Husen;2;Scharnhorst;052;Husen/Kurl/Lanstrop;;;41544.58999999973;5713153.59999999;51.5608553509, 7.57966929057;Dortmund
Ehemalige Bahntrasse Achenbach;Mengede;Ökonomie;Infrastrukturen\Verkehr;562;C;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Auf der aufgegebenen Trasse der Verbindungsbahn zwischen dem Hafen Minister Achenbach in Schwieringhausen und der Hauptstrecke in Mengede ist langfristig der Bau eines Rad-/Gehweges vorgesehen.

Sachstand 02/2018: Projekt ruht zurzeit aufgrund anderer Prioritäten

Sachstand 04/2019: Übernahme der Trasse wird geprüft.

Sachstand 02/2020: Übernahme der Trasse wird geprüft.

Sachstand 06/2021: Im Moment wird zu diesem Projekt eine Ratsvorlage erarbeitet.

Sachstand 07/2022: Es wird weiter die Übernahme der Trasse geprüft.

Sachstand 04/2025: Die Stadt Dortmund beabsichtigt die ehemalige Bergeverladestraße der RAG im Stadtteil Mengede zwischen dem Brockenscheidter Weg und der Stadtgrenze Lünen Brambauer entlang des Herrentheyer Bachs zu erwerben und als Radwegeverbindung zu nutzen. Die Vertragsverhandlungen zur Grundstücksübernahme werden durch das Liegenschaftsamt der Stadt Dortmund geführt. Die Grundstücke im Bereich der Bergeverladestraße wurden Anfang 2025 durch das Vermessungs- und Katasteramt der Stadt Dortmund erfasst. Die Wegeführung ist Bestandteil des Regionalen Radwegenetzes des Regionalverband Ruhr und dort als Radwegeverbindung ausgewiesen. Im Radzielnetz der Stadt Dortmund ist diese Verbindung als Hauptroute ausgewiesen. Durch die Übernahme der Bergeverladestraße als Radweg entsteht eine Kfz-freie Radwegeverbindung zwischen Dortmund Mengede und Lünen Brambauer. Nach derzeitigem Stand ist vorgesehen, diese Route in die Neukonzeption des HBR-Netzes für den Radverkehr auf Dortmunder Stadtgebiet aufzunehmen.";Am Amtshaus;15;923;Mengede-Mitte;920;Mengede;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;38763.12999999983;5714523.274999999;51.5705703228, 7.37858049115;Dortmund
Einbürgerungskampagne für Menschen mit ausländischer Staatsangehörigkeit;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Integration und Teilhabe;532;B;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Mit Unterstützung durch die ""nordwärts""-Beteiligungsformate und einer gelungenen Öffentlichkeitsarbeit sollen Menschen mit ausländischer Staatsangehörigkeit für die Einbürgerung gewonnen werden.

Sachstand 01/2018: Das Projekt wurde in das Jahr 2018 verschoben.

Sachstand 03/2019: Aufgrund der aktuellen räumlichen und personellen Situation in der kommunalen Ausländerbehörde stehen derzeit bedauerlicherweise keine Kapazitäten zur Planung, Organisation oder Durchführung einer Einbürgerungskampagne zur Verfügung. Aufgrund der Gesamtsituation und mangelnder Ressourcen ist eine Verschiebung in das Jahr 2018 unumgänglich.
Das Land NRW, hier das MKFFi unter Minister Stamp, plant derzeit eine Einbürgerungskampagne. Die kommunalen Einbürgerungsstellen sind zu einer entsprechenden Veranstaltung eingeladen. Vertreter der Ausländerbehörde werden an dieser Veranstaltung teilnehmen. Nähere inhaltliche Informationen zur Kampagne liegen noch nicht vor. Es sollte vermieden werden, dass hier ""Doppelarbeit"" entsteht.

Sachstand 02/2020: MKFFI plant derzeit Einbürgerungskampagne, Planung wird zur Vermeidung von Doppelstrukturen abgewartet

Sachstand 06/2021: Aufgrund der Coronapandemie konnte das Thema ""Einbürgerungskampagne"" im Rahmen der internen Prioritätensetzung des Ordnungsamtes in 2020 und 2021  nicht weiter verfolgt werden. Im Übrigen plant das Land NRW, hier das MKFFi seit einiger Zeit eine Einbürgerungskampagne. Die kommunalen Einbürgerungsstellen waren zu einer entsprechenden Veranstaltung eingeladen. Nähere inhaltliche Informationen zur Kampagne liegen noch nicht vor. Es sollte vermieden werden, dass hier Doppelstrukturen entstehen. Ein aktueller Sachstand aus dem MKFFi ist nicht bekannt.

Sachstand 07/2022: Es gibt keinen neuen Sachstand.";Olpe;1;001;City-Ost;000;City;10;Innenstadt-West;011;City;;;393652.1699999998;577844.349999999;51.5117053115, 7.4674581581;Dortmund
Einrichtung von Kinderstuben im Zuge der Umsetzung von Netzwerk INFamilie;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Aktionsplan Soziale Stadt;214;A;;gestartet/läuft;"Bildung und Betreuung von Kindern in einer Gruppe bis max. 9 Kindern und begleitender Elternbildung.

Sachstand 06/2018: Zur Zeit existieren 12 Kinderstuben, davon 11 im Stadtbezirk Innenstadt-Nord und eine im Stadtbezirk Eving. Darunter sind auch Kinderstuben für die besondere Zielgruppe der Zuwanderung aus Südosteuropa. Eine weitere Ausweitung der Kinderstuben auf die Aktionsräume ""Soziale Stadt"" und die Gebietskulisse Nordwärts ist aus fachlicher Sicht sinnvoll, jedoch bei entsprechendem Bedarf von einer auskömmlichen Finanzierung abhängig. Die Mehrkosten der Ersteinrichtung von ca. 13.500 Euro und der jährlich aufzuwendenden zusätzlichen Personalkosten von ca. 10.000 Euro sind nicht durch die Refinanzierung aus dem Kinderbildungsgesetz gedeckt.

Sachstand 02/2020: Die organisatorischen und finanziellen Voraussetzungen für die Umsetzung des Beschlusses sind Anfang 2019 durch den Ausschuss für Kinder, Jugend und Familie geschaffen worden (DS-Nr.: 13115-19); mittlerweile sind 13 Kinderstuben in 4 Aktionsräumen in Betrieb. In 6 weiteren Aktionsräumen sind die für Kinderstuben geeigneten Immobilien gefunden worden; sie werden derzeit für die Inbetriebnahme vorbereitet. In den restlichen 3 Aktionsräumen wird die schwierige Standortsuche weiter vorangetrieben.

Sachstand 06/2021:Die Kinderstuben werden suksessive in allen stadtbezirken bei entsprechendem Bedarf ausgebaut.

Sachstand 07/2022: Die Kinderstuben werden suksessive in allen Stadtbezirken bei entsprechendem Bedarf ausgebaut.

Sachstand 03/2025: Es gibt aktuell 10 Kinderstuben in Dortmund, zwei wurden aufgrund baulicher Mängel aufgegeben (Missundestr. und Lambachstr.) die 10 Kinderstuben befinden sich in der Trägerschaft von FABIDO, AWO und KTK. Die Kinderstuben befinden sich in der Förderkulisse der gesetzlichen Förderung der Kindertagespflege.";;;;;;;;;;;;;;;;Dortmund
Emscher Nordwärts: Gärten an der Emscher klein und groß;Mengede;Ökologie;Infrastrukturen\Sport+Freizeit;939;B (4);;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Parks und Gärten entlang der Emscher: Kleingartenanlage Mengede, Volksgarten Mengede, Naturschutzgebiet Siesack/Schaar
- Gartenprojekte fördern, z.B. Ideenwettbewerb zur Gestaltung im Rahmen der IGA
- Natur und Gärten entlang der Emscher erkunden, z.B. durch geführte Radtouren, Wanderungen
- Gestaltung des Volksgartens als moderner Park unterstützen

Sachstand 05/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Das Kuratorium hat die Empfehlung ausgesprochen, das Projekt Nr. 939 mit dem Projekt Nr. 833 ""Vision: Interkulturelle, barrierefreie Gemeinschaftsgärten für ""Jung und Alt"""" zu verknüpfen. Eine Abstimmung mit der Projektverantwortlichen des ""nordwärts""-Teilprojektes Nr. 939 ""Emscher Nordwärts: Gärten an der Emscher klein und groß"" hat ergeben, dass dies Sinn machen würde. Im Projekt Nr. 939 konnten bisher noch keine konkreten Projekte benannt werden, da eine geplante Informationsveranstaltung im Mai 2020 ausfallen musste und noch unklar ist, wann wieder Veranstaltungen stattfinden können. Die Projektverantwortlichen hatten sich vorgestellt, die Kleingartenanlage entlang der Emscher mit in das Projekt einzubeziehen, ebenso den Volksgarten in Mengede, der gerade neu geplant wird.

Sachstand 09/2022: Dieses Projekt befindet sich derzeit in Vorbereitung. Die Rahmenbedingungen werden abgestimmt. Pandemiebedingt konnten zunächst noch keine konkreten Projekte benannt werden, da eine geplante Informationsveranstaltung im Mai 2020 ausfallen musste und noch unklar war, wann wieder Veranstaltungen stattfinden können. Die Projektverantwortlichen stellen sich vor, die Kleingartenanlage entlang der Emscher mit in das Projekt einzubeziehen, ebenso den Volksgarten in Mengede, der gerade neu geplant wird. Im Oktober 2021 hat eine Informationsveranstaltung zum Thema ""Emscher nordwärts"" vor Ort stattgefunden, bei der unter anderem dieses ""nordwärts""-Teilprojekt thematisiert wurde. Es wurde festgehalten, dass dieses ""nordwärts""-Teilprojekt bei der Planung der IGA bisher noch nicht berücksichtigt wurde und dass es wünschenswert wäre, die Parks und Gärten an der Emscher einzubeziehen. Ein Abstimmungsgespräch mit der Projektverantwortlichen und der Stadtverwaltung zur Weiterentwicklung des Projektes befindet sich derzeit in Planung.";Eckei;98;953;Ellinghausen;950;Schwieringhausen;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;388956.8238952;571548.46947618;51.5755536725, 7.39754933645;Dortmund
Entwicklung des TÜV-Geländes in Kirchlinde;Huckarde;Ökonomie;Arbeit;36;A;;umgesetzt/abgeschlossen;"Wiedernutzbarmachung der ehem. TÜV-Fläche. 

Sachstand 04/2019: Die 2. Offenlage des Bebauungsplanes findet im Mai 2019 statt. Der Satzungsbeschluss wird voraussichtlich im Herbst 2019 gefasst. Für die südliche anliegende historische Maschinenhalle bestehen noch keine konkrete Folgenutzungen.

Sachstand 02/2020: Das Bebauungsplanverfahren ist abgeschlossen. Der Lebensmittelmarkt wurde eröffnet. Für die südlich angrenzende historische Maschinenhalle bestehen erste Nutzungskonzepte.

Sachstand 06/2021: Der Sachstand von 2020 ist noch aktuell.

Sachstand 07/2022: Der Sachstand von 2020 ist noch aktuell. Hu 152 VEP abgechlossen.

Sachstand 07/2023: Der Sachstand von 2020 ist noch aktuell. Hu 152 VEP abgeschlossen.

Sachstand 03/2025: Das ""nordwärts-Projekt"" ""Entwicklung des TÜV-Geländes in Kirchlinde"" ist abgeschlossen.";Kirchlinder Straße;1;843;Hangeney;840;Kirchlinde;8;Huckarde;112;Rahm/Kirchlinde;;;386941.81;57918.529999999;51.52176492, 7.37039276505;Dortmund
Entwicklung eines Nutzungskonzepts für das ehemalige Rittergut „Haus Wenge“;Scharnhorst;Ökologie;Infrastrukturen\Sport+Freizeit;902;B (2);;gestartet/läuft;"Das ehemalige Rittergut Haus Wenge wird langfristig von der Stadt angemietet und für gewerbliche und öffentliche Zwecke zu nutzen sein.

Sachstand 01/2018: Die Ratsvorlage zur Anmietung des Rittergutes ""Haus Wenge"" wurde am 14.12.2017 durch den Rat der Stadt Dortmund beschlossen. Aktuell wird ein Mietvertrag mit dem derzeitigen Erbbaunehmer über 20 Jahre, mit einer Option auf weitere 10 Jahre abgeschlossen. Das Gebäude ist derzeit in einem baulich sehr schlechten Zustand, deswegen ist es aktuell von höchster Priorität das Gebäude so zu sanieren, dass die Verkehrssicherungspflicht der Stadt Dortmund gewahrt wird. Der Schlüssel zu dem Objekt soll nach Anmietung an den Bezirksbürgermeister, Herrn Pasterny, übergeben werden. Des Weiteren soll eine detaillierte Nutzerabstimmung durch die Koordinierungsstelle ""nordwärts"" erfolgen, um die Kostengröße der Sanierung beziffern zu können.

Sachstand 11/2018: Im Rahmen eines Akteurstreffens wurden Ideen für ein Nutzungskonzept entwickelt. Die Bestandsaufnahme zu Haus Wenge ist abgeschlossen. Darauf aufbauend hat der Fachbereich Liegenschaften eine Machbarkeitsstudie in Auftrag gegeben, in die auch das bestehende Nutzungskonzept einfließt. Parallel wird für Haus Wenge in Kooperation mit der Stadterneuerung ein Antrag für das Förderprogramm „Heimat .Zukunft. Nordrhein-Westfalen. – Wir fördern, was Menschen verbindet.“ gestellt. Darüber hinaus erarbeitet der Lenkungskreis Haus Wenge mit Unterstützung von dem Begegnungszentrum Dorstfeld und der Koordinierungsstelle ""nordwärts"" ein Betreiberkonzept.

Sachstand 09/2019: Gemeinsam mit dem Lenkungskreis Haus Wenge wurden Textbausteine für einen Förderantrag für das Förderprogramm ""Heimat. Zukunft. Nordrhein-Westfalen. Wir fördern, was Menschen verbindet."" erarbeitet. Die Stadterneuerung Dortmund stimmt vor Antragstellung noch Fördermodalitäten mit der Bezirksregierung Arnsberg ab.

Sachstand 03/2020: Der Sachstand gilt unverändert weiter.

Sachstand 06/2021:Die Renovierungsarbeiten schreiten voran. Die, von der BV Scharnhorst, beauftragte Außenbeleuchtung wurden installiert. Es wurden mehrere Runde Tische und Arbeitsgruppen Sitzungen mit engagierten Bürger*innen und Vereinen durchgeführt, sodass das Nutzungskonzept für Haus Wenge geschärft werden konnte. Ein Trägerverein aus engagierten Bürger*innen befindet sich in Gründung. Eine Vereinssatzung wird derzeit in Abstimmung mit dem Rechtsamt, dem Finanzamt, einem Rechtsanwalt und Bürger*innen erarbeitet.

Sachstand 08/2021: Die bauordnungsrechtliche Abnahme von Haus Wenge ist für Ende Oktober geplant

Sachstand 10/2021: Der ""Haus Wenge Lanstrop"" Verein wurde am 05.10.2021 gegründet. Die Bauabnahme des Gebäudes erfolgt voraussichtlich Anfang November. 

Sachstand 07/2022: Der Trägerverein „Haus Wenge Lanstrop e. V.“ hat sich im Oktober 2021 gegründet. Die bauordnungsrechtliche Abnahme des Haus Wenge ist im Februar 2022 erfolgt. Ergänzende Reparaturen werden zzt. durchgeführt. Weitergehende Prüfungen im Bereich des Dachstuhls haben ergeben, dass das Gebäude erst nach Abstellung dieser festgestellten Mängel (ca. 11/2022) durch den Verein betrieben werden kann. Eine Nutzungsüberlassung wurde vom Fachbereich Liegenschaften erarbeitet und wird in den nächsten Wochen mit dem Verein abgestimmt. 

Sachstand 10/2023: Nach Abschluss der umfassenden Renovierungsarbeiten durch die Firma Grünbau gGmbH und der entsprechenden Koordination der zuständigen Fachämter, konnte dem „Haus Wenge Lanstrop e.V.“ am 01.04.2023 offiziell das Nutzungsrecht für das Haus Wenge übertragen werden.
Das Haus Wenge soll ein Bürgerzentrum, das für jede und jeden zugänglich ist, werden. Unter Federführung des „Haus Wenge Lanstrop e.V.“ soll sich das Haus Wenge als ein Ort entwickeln, der von Veranstaltungen für Bürgerinnen und Bürger (Theaterabende, Musikveranstaltungen, Lesungen etc.) lebt und der als Treffpunkt für Gruppen und Vereine im Dortmunder Norden dient. Auch soll das Haus Wenge eine Anlaufstelle für besondere Lebensfragen (Bürgersprechstunden der Polizei, Beratungsangebote von Sozialverbänden etc.) werden.
Darüber hinaus wurde im Haus Wenge ein weiterer Ort für Ambientetrauungen in Dortmund geschaffen.";Alekestraße;4;251;Lanstrop-Neu;250;Lanstrop;2;Scharnhorst;052;Husen/Kurl/Lanstrop;;;4597.4999999999;5714862.4799999995;51.5760548609, 7.56552745015;Dortmund
Errichtung von 21 Wohnungen im öffentlich geförderten Wohnungsbau;Huckarde;Soziales;Wohnen;946;B (4);;umgesetzt/abgeschlossen;"Es werden 20 Wohnungen im geförderten Wohnungsbau mit rund 2.000 m² Wohnfläche errichtet. Der Schwerpunkt des Projekts besteht aus Wohnungen für Familien mit Kindern sowie ca. einem Drittel der Wohnungen für ein bis zwei Personen. Ein generationsübergreifendes Wohnen ist daher möglich.

Sachstand 07/2021: Das Projekt wurde noch nicht gestartet.

Sachstand 06/2022: Zwischenzeitlich wurde mit dem Bau der Errichtung von 20 öffentlich geförderten Wohnungen begonnen. Es wird mit der Fertigstellung bis zum Frühjahr des kommenden Jahres 2023 gerechnet.

Sachstand 06/2023: Die Wohnungen sollen zum 01.11.2023 fertiggestellt sein.

Sachstand 03/2025: Das Bauvorhaben wurde Ende 2023 fertiggestellt und es konnte sogar noch eine Wohnung mehr realisieren werden. Es sind jetzt 21 WE im geförderten Wohnungsbau geworden.";Frohlinder Straße;10;841;Kirchlinde-Alt;840;Kirchlinde;8;Huckarde;112;Rahm/Kirchlinde;;;386993.2999999974;579265.9399999995;51.5231899807, 7.37108023373;Dortmund
Flüchtlingscafé/Patenschaftsprojekt;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Identität und bürgerschaftliches Engagement;742;B;;umgesetzt/abgeschlossen;"Treffpunkt, Beratung und Austauschmöglichkeit für Geflüchtete im Dietrich-Keuning-Haus.

Sachstand 05/2018: Das ""Flüchtlingscafé"" in Zusammenarbeit mit dem Verein Train of Hope e. V. wurde aufgrund der Konzeptionsänderung eingestellt. Train of Hope e. V. hat nun eigene Räumlichkeiten erhalten und kann bei Bedarf Räumlichkeiten des Dietrich-Keuning-Haus im Rahmen der Flüchtlingsarbeit zurück greifen. Auf dieser Ebene besteht also noch die Kooperation zwischen dem DKH und Train of Hope e.V. Das Flüchlingscafé in der ursprünglichen Form besteht nicht mehr.";;;;;;;;;;;;;;;;Dortmund
Freifunk für Alle - 100 neue WLAN-Hotspots für den Bezirk Mengede;Mengede;Zivilgesellschaft;Soziale Innovation;941;B (4);;gestartet/läuft;"""Freifunk für Alle"" hat zum Ziel ein freies und selbstorganisiertes WLAN-Netz in verschiedenen Kernzonen des Bezirks Mengede und seiner Unterbezirke aufzubauen. Realisiert durch engagierte Bewohner*innen, lokalen Akteuren und in Kooperation mit dem Freifunk-Dortmund e.V. soll ein Netzwerk von (zunächst) 100 Freifunk-Routern vorbereitet und aufgestellt werden.

Sachstand 07/2021: Es wurden Standorte für Bürger*innen gefunden, wo sie kostenlos und ohne Anmeldung online gehen können. Es werden noch weitere Standorte gesucht.

Sachstand 07/2022: Wir haben fertig geflashte Router zur Verfügung und geben diese im ""nordwärts""-Bereich an Interessierte ab. Aktuell sind wir in der Planung und in Gesprächen mit dem Stadtteil Huckarde, die ihre Ortsmitte mit „freifunk“ ausstrahlen möchte. Unsere Infrastruktur haben wir in den letzten zwei Jahren, weiter Dezentralisieren und Performanter aufgebaut.

Sachstand 06/2023: Das Projekt wird weiter umgesetzt und mit weiteren Routern ausgestattet";Bodelschwingher Straße;11;930;Nette;930;Nette;9;Mengede;123;Nette;123;Nette;38897.4999999976;571225.579999999;51.5500040714, 7.39863842316;Dortmund
Fußballgolf-Anlage;Eving;Ökologie;Infrastrukturen\Sport+Freizeit;881;A;;umgesetzt/abgeschlossen;"Entwicklung einer Fußballgolf-Anlage in Dortmund-Eving.

Sachstand 01/2018: Die Anlage wurde Ende August 2016 eröffnet.";Am Zechenbahnhof;1;122;Eving;120;Eving;1;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;39373.82999999996;5711214.69999999;51.5420087377, 7.4675746006;Dortmund
Hannibal 2 - Lebenswelten, Erfahrungen, Generationen;IN-NORD;Soziales;Bildung;295;B;;umgesetzt/abgeschlossen;"In der ungenutzten Gaststätte Hannibal sollen Jung und Alt, sowie Menschen verschiedener Herkunft zusammengeführt werden. 

Sachstand 01/2018: Projekt ist realisiert (eröffnet)";Bornstraße;21;004;Cityring-Ost;000;City;10;Innenstadt-West;011;City;;;39382.913;578549.539999999;51.5180756455, 7.46967644547;Dortmund
Hoesch-Hafenbahn-Weg;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Infrastrukturen\Verkehr;728;B;;gestartet/läuft;"Der Regionalverband Ruhr baut den Gartenstadtradweg in Dortmund weiter aus. Das Land fördert den ersten, knapp vier Kilometer langen Abschnitt zwischen Phoenixsee und Paderborner Str. mit rund 1,9 Millionen Euro.

Sachstand 01/2018: Der Regionalverband Ruhr baut den Gartenstadtradweg in Dortmund weiter aus. Das Land fördert den ersten, knapp vier Kilometer langen Abschnitt mit rund 1,9 Millionen Euro. Auf dem Abschnitt der ehemaligen Güterzugstrecke zwischen Phoenixsee und Paderborner Straße wird ein etwa vier Meter breiter Radweg entstehen. Neben dem Bau der Strecke werden auch Sicherungsmaßnahmen an Brücken durchgeführt und Sitzgelegenheiten aufgestellt.

Sachstand 02/2020: Baumaßnahme vom RVR läuft, Planung Grünanlage läuft bei FB 63.

Sachstand 06/2021: Nach Entscheidung der Politik wird der ""Gartenstadtradweg"" nun ""Hoesch-Hafenbahn-Weg"" heißen. 
Im April 2021 gab es eine Bürgerbeteiligung in digitaler Form auf der Internetseite des RVRs.
Die Freischnitt- und Rodungsmaßnahmen für das erste 3,9 Kilometer lange Teilstück sind abgeschlossen. Auf der Trasse wurden bereits Vermessungsarbeiten durchgeführt und im Rahmen der ökologischen Baubegleitung Fledermausersatzquartiere angelegt. RVR und Stadt Dortmund haben vor kurzem auch die zuständigen Bezirksvertretungen über Planungen, Kommunikation und die vorgesehene Bürgerbeteiligung informiert.

Sachstand 07/2022: Durch Nachforderungen seitens des Fördergebers verzögert sich der Baustart weiter.

Sachstand 03/2025: Derzeit wird der 2. Teilabschnitt von Max-Eyth-Straße bis Am Zehnthof baulich umgesetzt. Es ist mit einer Fertigstellung Ende 2025 zu rechnen.";;;;;;;;;;;;;;;;Dortmund
Hof Emscher-Auen;Mengede;Ökologie;Infrastrukturen\Sport+Freizeit;809;A;;umgesetzt/abgeschlossen;"Aufwertung des Emscherweges mit einer Pausenstation.

Sachstand 01/2018: Der Ausbau des Dachgeschosses soll durch ""nordwärts"" finanziert werden (Update Juni 2021: Eine Finanzierung von ""nordwärts"" wurde nicht realisiert.). Der Hof Emscher-Auen wurde bereits größtenteils renoviert und von März bis Oktober hat dort an sonnigen Tagen ein gastronomischer Betrieb geöffnet.

Sachstand 05/2018: Große Aktion im Rahmen des ""nordwärts""-Präsentationsjahrs ""Kennenlernen auf dem Hof Emschertal"" am 06.05.2018.

Sachstand 08/2020: Der Hof Emschertal wurde in Hof Emscher-Auen umbenannt.

Sachstand 06/2021: Das Projekt wurde abgeschlossen.";Rittershofer Straße;123;;;;;;;;;;;;;;Dortmund
INFamilie: Vernetzungsinitiativen, Zielgruppenerreichung, Kooperationsverbünde;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Aktionsplan Soziale Stadt;623;A;;gestartet/läuft;"Aufbau von Vernetzungsstrukturen und Schaffung von Angeboten für die Zielgruppe der 0 - 10 Jährigen und deren Eltern in den Aktionsräumen des Aktionsplans Soziale Stadt.

Sachstand 02/2018: Umsetzung erfolgt sukzessive in allen Sozialräumen (Aktionsplan Soziale Stadt) auf der Grundlage eines Ratsbeschlusses aus 02/16. Erfolgreiche Vernetzungsarbeit bisher in den Stadtteilen Nordstadt (in einigen Quartieren), Eving, Westerfilde/Bodelschwingh und beginnend in Hörde.

Sachstand 02/2020: Das Netzwerk In-Familie ist aktiv und wird in 2020 in Scharnhorst tätig, als darauffolgender Standort ist Lütgendortmund vorgesehen.

Sachstand 06/2021: Das Netzwerk INFamilien läuft wie geplant. Aktuell wird eine Sozialraumanalyse durch die Implementierung des Netzwerkes in Lütgendortmund durchgeführt.

Sachstand 07/2022: Bei dem Projekt handelt es sich um die Regeleinrichtung der sozialräumlichen Netzwerke INFamilie in der Gebietskulisse des Aktionsplanes Soziale Stadt durch das Jugendamt. ""nordwärts"" betrifft die Einrichtung der Netzwerke nur insoweit, als eine Einbeziehung auf struktureller Ebene erfolgt (Beteiligung in der Steuerungsgruppe). Geldmittel fließen nicht aus dem Etat von ""nordwärts"".

Sachstand 03/2025: Mit Dortmund Dorstfeld wird der letzte Stadtbezirk an das Netzwerk INFamilie am 25.03.25 angeschlossen. Alle Netzwerkstandorte in der Gebietskulisse des Aktionsplanes Soziale Stadt werden über die Netzwerkkoordinator*innen aus den Familienbüros administriert. Es gibt Verfahrens- und Qualitätsstandards.";;;;;;;;;;;;;;;;Dortmund
