;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Stadtsparkasse Werne;"Markt 17-19
59368 Werne";Sparkassen-Riesterdarlehen;Stadtsparkasse Werne;A;004363;01.11.2008;01.01.2017;;;
Stadtsparkasse Werne;"Markt 17 - 19
59368 Werne";SVorsorgePlus 157.850.000;Stadtsparkasse Werne;A;004717;12.02.2010;;;;
Stadtsparkasse Wetter (Ruhr);"Kaiserstr. 78
58300 Wetter (Ruhr)";Sparkassen-Riesterdarlehen;Sparkasse an Ennepe und Ruhr ;A;004366;01.11.2008;01.01.2017;;;
Stadtsparkasse Wetter (Ruhr);"Kaiserstr. 78
58300 Wetter (Ruhr)";SVorsorgeFlexibel 157.860.000;Sparkasse an Ennepe und Ruhr ;A;005401;04.01.2011;;;;
Stadtsparkasse Wetter (Ruhr);"Kaiserstr. 78
58300 Wetter ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Sparkasse an Ennepe und Ruhr ;A;000625;01.01.2002;01.01.2014;;;
Stadtsparkasse Witten;58449 Witten;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Sparkasse Witten;A;000628;01.01.2002;01.01.2014;;;
Stadtsparkasse Wunstorf;"Lange Str. 2
31515 Wunstorf";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Stadtsparkasse Wunstorf;A;000509;01.03.2018;01.01.2014;;;
Stadtsparkasse Wunstorf;"Lange Str. 2
31515 Wunstorf";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Stadtsparkasse Wunstorf;A;002958;01.01.2002;01.01.2014;;;
Stadtsparkasse Wunstorf;"Lange Str. 2
31515 Wunstorf";Sparkassen-Riesterdarlehen;Stadtsparkasse Wunstorf;A;004413;01.11.2008;01.01.2017;;;
Stadtsparkasse Wuppertal;42097 Wuppertal;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Stadtsparkasse Wuppertal;A;002995;01.01.2002;01.01.2014;;;
Stadtsparkasse Wuppertal;42097 Wuppertal;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Stadtsparkasse Wuppertal;A;000629;01.03.2018;01.01.2014;;;
Stadtsparkasse Wuppertal;"Islandufer 15
42103 Wuppertal";SVorsorgeFlexibel 157.860.000;Stadtsparkasse Wuppertal;A;005515;04.01.2011;;;;
Stadtsparkasse Wuppertal;"Islandufer 15
42103 Wuppertal";SVorsorgePlus 157.850.000;Stadtsparkasse Wuppertal;A;004659;12.02.2010;;;;
Stadtsparkasse Wuppertal;"Islandufer 15
42103 Wuppertal";Sparkassen-Riesterdarlehen;Stadtsparkasse Wuppertal;A;004066;01.11.2008;01.01.2017;;;
Stadtsparkasse Zweibrücken;"Schloßplatz 9
66482 Zweibrücken";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Stadtsparkasse Zweibrücken;A;000657;01.03.2018;01.01.2014;;;
Stadtsparkasse Zweibrücken;"Schloßplatz 9
66482 Zweibrücken";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Stadtsparkasse Zweibrücken;A;003020;01.01.2002;01.01.2014;;;
Standard Life Assurance Ltd.;"30 Lothian Road
EH1 2DH MIDLOTHIAN";Maxxellence Invest Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006088;15.11.2016;31.03.2021;;;
"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006318;28.11.2019;;;;
"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006513;07.07.2023;01.05.2024;;;
"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";"Lyoner Str. 15
60528 Frankfurt am Main";FREELAX SOFORT Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006540;31.01.2024;;;;
"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006542;21.02.2024;;;;
"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;006348;30.07.2020;01.05.2024;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd;"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;Standard Life Versicherung, Zweigniederlassung Deutschland der Standard Life Assurance Limited;B;005838;06.05.2013;07.08.2013;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd;"Lyoner Str. 15
60528 Frankfurt am Main";Maxxellence Invest Basisvorsorge;Standard Life Versicherung, Zweigniederlassung Deutschland der Standard Life Assurance Limited;B;005871;20.09.2013;19.12.2013;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";FREELAX BASIC;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;005166;21.10.2010;24.03.2014;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";MAXXELLENCE BASIC;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;005201;09.11.2010;24.03.2014;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";FREELAX BASIC;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;005202;09.11.2010;24.03.2014;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";MAXXELLENCE BASIC;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;004924;31.03.2010;02.05.2012;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";FREELAX BASIC;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;004925;31.03.2010;01.05.2015;;;
Standard Life Versicherung Zweigniederlassung Deutschland der Standard Life Assurance Ltd Herrn Bertram Valentin;"Lyoner Str. 15
60528 Frankfurt am Main";Basisvorsorge Maxxellence Invest;"Standard Life Versicherung 
Zweigniederlassung Deutschland der Standard Life International DAC";B;005734;03.04.2012;01.01.2017;;;
Stralsunder Volksbank eG;"Mönchstr. 24
18439 Stralsund";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Pommersche Volksbank eG;A;001517;01.01.2002;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstr. 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr.2b EStG;Stuttgarter Lebensversicherung a.G.;B;004868;18.03.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstr. 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG;Stuttgarter Lebensversicherung a.G.;B;004869;18.03.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG;Stuttgarter Lebensversicherung a.G.;B;005198;08.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstr. 120
70197 Stuttgart";Rentenversicherung nach Altersvermögensgesetz;Stuttgarter Lebensversicherung a.G.;A;003834;02.11.2006;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 b EStG;Stuttgarter Lebensversicherung a.G.;B;005216;11.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG;Stuttgarter Lebensversicherung a.G.;B;005197;08.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 39);Stuttgarter Lebensversicherung a.G.;B;005631;16.06.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;005629;16.06.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 89);Stuttgarter Lebensversicherung a.G.;B;005630;16.06.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Abs. 1 Nr. 2 lit b) EStG (Tarif 89);Stuttgarter Lebensversicherung a.G.;B;005648;22.09.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Abs. 1 Nr. 2 lit b) EStG (Tarif 39);Stuttgarter Lebensversicherung a.G.;B;005646;22.09.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Abs. 1 Nr. 2 lit b) EStG (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;005647;22.09.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Abs. 1 Nr. 2 lit b) EStG (Tarif 89.1);Stuttgarter Lebensversicherung a.G.;B;005644;15.09.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Tarif 85);Stuttgarter Lebensversicherung a.G.;A;005645;01.01.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG);Stuttgarter Lebensversicherung a.G.;A;005524;10.01.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG (Tarif 34 u. 34.1) ;Stuttgarter Lebensversicherung a.G.;B;005220;16.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG (Tarif 54);Stuttgarter Lebensversicherung a.G.;B;005219;16.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG mit Einmalbeitrag (Tarif 39.1);Stuttgarter Lebensversicherung a.G.;B;005218;16.11.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2b EStG gegen Einmalbeitrag;Stuttgarter Lebensversicherung a.G.;B;005283;17.12.2010;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Tarif 85/T);Stuttgarter Lebensversicherung a.G.;A;005839;23.05.2013;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 59/T);Stuttgarter Lebensversicherung a.G.;B;005840;23.05.2013;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Riesterrente mit Indexbeteiligung) (Tarif65);Stuttgarter Lebensversicherung a.G.;A;005961;30.09.2015;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 69 und 69.1);Stuttgarter Lebensversicherung a.G.;B;005967;07.10.2015;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 89.1/T);Stuttgarter Lebensversicherung a.G.;B;005702;01.12.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 89/T);Stuttgarter Lebensversicherung a.G.;B;005703;01.12.2011;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 89/T);Stuttgarter Lebensversicherung a.G.;B;005735;30.05.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 89);Stuttgarter Lebensversicherung a.G.;B;005736;30.05.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;005737;30.05.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 39.1);Stuttgarter Lebensversicherung a.G.;B;005738;30.05.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 lit b) EStG (Tarif 39);Stuttgarter Lebensversicherung a.G.;B;005739;30.05.2012;01.01.2017;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter) (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;006330;30.03.2020;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 69 und 69.1);Stuttgarter Lebensversicherung a.G.;B;006331;30.03.2020;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter mit Garantie) (Tarif 89 und 89.1);Stuttgarter Lebensversicherung a.G.;B;006332;30.03.2020;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter) (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;006284;26.09.2019;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 69 und 69.1);Stuttgarter Lebensversicherung a.G.;B;006285;26.09.2019;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter mit Garantie) (Tarif 89 und 89.1);Stuttgarter Lebensversicherung a.G.;B;006286;26.09.2019;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Riesterrente mit Indexbeteiligung (Tarif 65);;;006287;26.09.2019;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetztes (AltZertG) (Riesterrente mit Indexbeteiligung) (Tarif 65);Stuttgarter Lebensversicherung a.G.;A;006193;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Fondsgebundene Riesterrente mit Garantie) (Tarif 85);Stuttgarter Lebensversicherung a.G.;A;006194;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 39 und 39.1);Stuttgarter Lebensversicherung a.G.;B;006195;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter) (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;006196;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 69 und 69.1);Stuttgarter Lebensversicherung a.G.;B;006197;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter) (Tarif 39 und 39.1);Stuttgarter Lebensversicherung a.G.;B;006058;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter) (Tarif 59);Stuttgarter Lebensversicherung a.G.;B;006059;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter) (Tarif 59/T);Stuttgarter Lebensversicherung a.G.;B;006060;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Basisrente-Alter)(Tarif 69 und 69.1);Stuttgarter Lebensversicherung a.G.;B;006061;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter mit Garantie) (Tarif 89 und 89.1);Stuttgarter Lebensversicherung a.G.;B;006062;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter mit Garantie) (Tarif 89/T und 89.1/T);Stuttgarter Lebensversicherung a.G.;B;006063;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Rentenversicherung mit Indexbeteiligung als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Riesterrente mit Indexbeteiligung) (Tarif 65);Stuttgarter Lebensversicherung a.G.;A;006055;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Fondsgebundene Riesterrente mit Garantie) (Tarif 85);Stuttgarter Lebensversicherung a.G.;A;006056;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Fondsgebundene Riesterrente mit Garantie) (Tarif 85/T);Stuttgarter Lebensversicherung a.G.;A;006057;21.09.2016;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit Indexbet. nach § 10 Abs. 1 Nr. 2b aa EStG (T69/69.1);Stuttgarter Lebensversicherung a.G.;B;006532;28.09.2023;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit wählb. Gar. nach § 10 Abs. 1 Nr. 2b aa) (T79/79.1);Stuttgarter Lebensversicherung a.G.;B;006533;28.09.2023;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit Indexbet. nach § 10 Abs. 1 Nr. 2b aa EStG (T69/69.1);Stuttgarter Lebensversicherung a.G.;B;006455;18.11.2021;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit Indexbet. nach § 10 Abs. 1 Nr. 2b aa EStG (T69/69.1);Stuttgarter Lebensversicherung a.G.;B;006409;01.04.2021;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit wählb. Gar. nach § 10 Abs. 1 Nr. 2b) aa) (T 79/79.1);Stuttgarter Lebensversicherung a.G.;B;006410;01.04.2021;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit wählb. Gar. u. vermindertem Startbeitrag (Tarif 79T);Stuttgarter Lebensversicherung a.G.;B;006534;28.09.2023;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit Indexbet. nach § 10 Abs. 1 Nr. 2b aa EStG (T69/69.1);Stuttgarter Lebensversicherung a.G.;B;006437;09.09.2021;;;;
Stuttgarter Lebensversicherung a.G.;"Postfach 10 60 05
70049 Stuttgart";Rentenversicherung nach Altersvermögensgesetz;Stuttgarter Lebensversicherung a.G.;A;000103;01.01.2002;01.12.2012;;;
Stuttgarter Lebensversicherung a.G.;"Postfach 10 60 05
70049 Stuttgart";Rentenversicherung nach AVmG auf  Zulagenbasis;Stuttgarter Lebensversicherung a.G.;A;000104;01.01.2002;01.12.2012;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondgebundene Rentenversicherung nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa Einkommensteuergesetz (EStG) (Fondsgebundene Basisrente-Alter mit Garantie) (Tarif 89 und 89.1);Stuttgarter Lebensversicherung a.G.;B;006198;01.10.2018;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit wählbarer Garantie nach § 10 Absatz 1 Nr. 2 Buchstabe b Doppelbuchstabe aa EStG (Fondsgebundene Basisrente-Alter mit wählbarer Garantie) (Tarif 79 und 79.1);Stuttgarter Lebensversicherung a.G.;B;006365;22.09.2020;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";Fondsgebundene Rentenversicherung mit Garantie als Altersvorsorgevertrag im Sinne des Altersvorsorgeverträge-Zertifizierungsgesetzes (AltZertG) (Fondsgebundene Riesterrente mit Garantie) (Tarif 75);Stuttgarter Lebensversicherung a.G.;A;006364;22.09.2020;;;;
Stuttgarter Lebensversicherung a.G.;"Rotebühlstraße 120
70197 Stuttgart";RV mit wählb. Gar. u. vermindertem Startbeitrag (Tarif 79T);Stuttgarter Lebensversicherung a.G.;B;006504;30.11.2022;;;;
Süddeutsche Lebensversicherung a.G.;"Raiffeisenplatz 5
70736 Fellbach";BT / EBT;Süddeutsche Lebensversicherung a.G.;B;004822;19.02.2010;01.01.2017;;;
Süddeutsche Lebensversicherung a.G.;"Postfach 19 23
70709 Fellbach";"""SDK-Vorsorge-Rente"" Nach Tarif ZS";Süddeutsche Lebensversicherung a.G.;A;000077;01.01.2002;01.12.2012;;;
