;1. Start des Fragebogens;1. Start des Fragebogens;1. Start des Fragebogens;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;5. Demographische Daten;5. Demographische Daten;6. Stromspiegel;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;7. Abschluss des Fragebogens
1101368;Ja;Ministerium des Innern;Ja;immer;nie;selten;immer;immer;nie;immer;k. A.;Ja;nie;k. A.;gelegentlich;k. A.;nie;Ja;nie;gelegentlich;immer;nie;immer;immer;immer;immer;immer;nie;selten;nie;immer;nie;Ja;nie;immer;gelegentlich;immer;immer;nie;nie;Ja;gelegentlich;gelegentlich;immer;nie;oft;nie;selten;oft;nie;oft;Nein;50-59;männlich;Ja;Wohnung;Ohne Strom;2;1.300;Ja
1101369;Ja;Ministerium des Innern;Nein;nie;nie;nie;nie;k. A.;nie;gelegentlich;k. A.;Nein;nie;nie;gelegentlich;nie;nie;Ja;nie;gelegentlich;nie;nie;immer;immer;gelegentlich;oft;nie;nie;immer;gelegentlich;oft;selten;Nein;nie;nie;gelegentlich;nie;oft;selten;selten;Ja;;;immer;nie;immer;nie;nie;immer;nie;k. A.;Nein;60-69;männlich;Nein;;;;;Ja
1101370;Ja;Ministerium des Innern;Nein;selten;selten;nie;nie;immer;nie;nie;nie;Ja;nie;nie;nie;nie;gelegentlich;Ja;gelegentlich;immer;gelegentlich;nie;immer;immer;immer;gelegentlich;nie;nie;immer;gelegentlich;immer;nie;Ja;nie;immer;immer;gelegentlich;immer;gelegentlich;nie;Ja;oft;immer;nie;nie;immer;nie;oft;gelegentlich;nie;gelegentlich;Nein;60-69;männlich;Nein;;;;;Ja
1101374;Ja;Ministerium des Innern;Nein;nie;nie;nie;immer;immer;k. A.;selten;k. A.;Ja;nie;nie;nie;nie;k. A.;Nein;nie;gelegentlich;nie;nie;k. A.;immer;immer;immer;immer;immer;immer;nie;oft;nie;Ja;nie;immer;nie;selten;oft;oft;nie;Ja;gelegentlich;gelegentlich;immer;nie;immer;k. A.;nie;nie;nie;immer;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;1;1.500;Ja
1101376;Ja;Ministerium des Innern;Ja;immer;gelegentlich;immer;immer;immer;immer;immer;k. A.;Nein;nie;nie;immer;selten;nie;k. A.;nie;nie;immer;immer;immer;immer;immer;immer;immer;selten;immer;selten;immer;nie;Nein;nie;immer;immer;immer;immer;gelegentlich;nie;Ja;immer;gelegentlich;gelegentlich;nie;k. A.;k. A.;oft;k. A.;gelegentlich;immer;Nein;50-59;männlich;Nein;;;;;Ja
1101377;Ja;Ministerium des Innern;Nein;gelegentlich;nie;nie;immer;immer;nie;oft;k. A.;Ja;gelegentlich;immer;oft;immer;nie;Ja;nie;selten;nie;nie;k. A.;immer;immer;oft;immer;selten;k. A.;nie;immer;nie;Ja;nie;immer;immer;immer;immer;selten;nie;Ja;selten;gelegentlich;oft;nie;oft;k. A.;gelegentlich;oft;selten;immer;k. A.;60-69;weiblich;Nein;;;;;Ja
1101378;Ja;Staatskanzlei;Nein;immer;nie;k. A.;oft;immer;immer;oft;selten;Nein;oft;immer;immer;immer;immer;Ja;gelegentlich;nie;gelegentlich;nie;immer;oft;immer;immer;selten;selten;gelegentlich;selten;oft;nie;Nein;oft;immer;immer;immer;immer;oft;k. A.;k. A.;gelegentlich;gelegentlich;nie;nie;nie;k. A.;oft;selten;selten;immer;Nein;50-59;weiblich;Ja;Wohnung;Mit Strom;2;1.400;Ja
1101379;Ja;Ministerium des Innern;Ja;immer;immer;nie;immer;gelegentlich;selten;immer;k. A.;Nein;immer;gelegentlich;immer;nie;immer;Ja;nie;nie;immer;immer;k. A.;immer;gelegentlich;selten;oft;nie;oft;nie;immer;immer;Nein;immer;immer;immer;immer;immer;immer;immer;Ja;nie;nie;oft;nie;oft;k. A.;oft;gelegentlich;nie;immer;Nein;18-29;männlich;Ja;Haus;Mit Strom;2;2.100;Ja
1101380;Ja;Ministerium des Innern;Nein;nie;nie;k. A.;immer;immer;k. A.;nie;immer;k. A.;nie;k. A.;selten;nie;k. A.;k. A.;nie;selten;nie;nie;immer;immer;immer;gelegentlich;immer;nie;immer;selten;immer;nie;Nein;nie;nie;gelegentlich;nie;immer;oft;nie;k. A.;selten;selten;immer;nie;k. A.;k. A.;selten;gelegentlich;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1101382;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;immer;oft;k. A.;immer;immer;nie;immer;selten;Ja;selten;k. A.;immer;oft;gelegentlich;;selten;selten;immer;immer;k. A.;immer;immer;oft;oft;immer;immer;oft;oft;oft;Ja;selten;oft;immer;immer;immer;gelegentlich;oft;Ja;gelegentlich;gelegentlich;oft;nie;gelegentlich;k. A.;selten;oft;selten;oft;Nein;30-39;männlich;Ja;Haus;Ohne Strom;3;2.000;Ja
1101383;Ja;Ministerium des Innern;Nein;immer;k. A.;oft;immer;oft;nie;oft;k. A.;Nein;nie;gelegentlich;oft;oft;selten;Ja;nie;gelegentlich;gelegentlich;gelegentlich;k. A.;immer;immer;immer;oft;nie;nie;nie;gelegentlich;gelegentlich;Nein;nie;oft;selten;immer;immer;gelegentlich;;Ja;gelegentlich;gelegentlich;selten;nie;k. A.;nie;selten;gelegentlich;;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1101384;Ja;Ministerium des Innern;Nein;immer;nie;nie;oft;gelegentlich;nie;oft;k. A.;Ja;nie;k. A.;selten;selten;nie;Ja;nie;selten;immer;nie;immer;immer;selten;gelegentlich;immer;nie;immer;oft;oft;nie;Ja;nie;immer;gelegentlich;gelegentlich;immer;nie;nie;Ja;gelegentlich;gelegentlich;immer;nie;k. A.;k. A.;selten;selten;nie;gelegentlich;Nein;60-69;weiblich;Nein;;;;;Ja
1101385;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;immer;nie;k. A.;oft;immer;oft;oft;immer;Nein;nie;oft;gelegentlich;oft;selten;Ja;selten;oft;immer;nie;immer;oft;oft;oft;oft;selten;gelegentlich;nie;oft;nie;k. A.;nie;immer;gelegentlich;oft;immer;nie;nie;Ja;oft;oft;immer;nie;oft;nie;nie;immer;selten;immer;Ja;30-39;männlich;Nein;;;;;Ja
1101386;Ja;Ministerium des Innern;Nein;nie;nie;k. A.;immer;immer;nie;immer;nie;Ja;oft;k. A.;immer;k. A.;gelegentlich;Ja;gelegentlich;gelegentlich;nie;nie;k. A.;immer;immer;immer;immer;nie;immer;oft;immer;gelegentlich;Ja;nie;immer;oft;immer;oft;gelegentlich;gelegentlich;Ja;oft;gelegentlich;immer;nie;immer;nie;nie;immer;nie;k. A.;Ja;40-49;weiblich;Ja;Haus;Ohne Strom;1;2.348;Ja
1101387;Ja;Ministerium des Innern;Ja;nie;nie;nie;oft;oft;nie;immer;k. A.;Ja;nie;immer;gelegentlich;selten;nie;Ja;selten;selten;selten;nie;immer;immer;immer;selten;gelegentlich;nie;oft;oft;oft;nie;Ja;gelegentlich;selten;gelegentlich;nie;immer;gelegentlich;nie;k. A.;oft;selten;nie;nie;nie;nie;immer;nie;nie;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;3;2.500;Ja
1101388;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;immer;nie;gelegentlich;k. A.;Nein;immer;selten;gelegentlich;nie;nie;Nein;nie;oft;immer;nie;nie;immer;immer;selten;selten;nie;gelegentlich;immer;oft;gelegentlich;Nein;oft;selten;immer;immer;immer;gelegentlich;oft;Ja;oft;oft;nie;nie;nie;k. A.;immer;nie;gelegentlich;oft;Nein;40-49;männlich;Ja;Haus;Mit Strom;4;3.700;Ja
1101389;Ja;Ministerium des Innern;Ja;immer;gelegentlich;gelegentlich;immer;oft;oft;immer;k. A.;Ja;nie;immer;immer;immer;nie;Ja;selten;selten;oft;immer;k. A.;oft;oft;oft;immer;nie;immer;selten;oft;selten;Ja;nie;immer;immer;oft;immer;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;selten;nie;oft;k. A.;oft;gelegentlich;gelegentlich;immer;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;2;3.500;Ja
1101390;Ja;Ministerium für Schule und Bildung;Ja;oft;nie;nie;immer;oft;selten;gelegentlich;k. A.;Ja;selten;oft;oft;selten;gelegentlich;Ja;selten;selten;gelegentlich;nie;nie;oft;gelegentlich;selten;oft;selten;oft;oft;immer;gelegentlich;Ja;selten;gelegentlich;gelegentlich;nie;oft;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;selten;nie;nie;nie;gelegentlich;nie;selten;gelegentlich;Nein;30-39;weiblich;Nein;;;;;Ja
1101392;Ja;Ministerium des Innern;Ja;immer;selten;gelegentlich;immer;nie;oft;immer;nie;Nein;oft;nie;immer;nie;gelegentlich;Ja;gelegentlich;selten;immer;oft;oft;immer;nie;immer;selten;nie;selten;oft;oft;selten;Ja;selten;immer;immer;immer;immer;gelegentlich;selten;Ja;oft;gelegentlich;;nie;gelegentlich;nie;oft;nie;gelegentlich;immer;Nein;30-39;männlich;Nein;;;;;Ja
1101394;Ja;Ministerium des Innern;Ja;oft;nie;nie;immer;selten;k. A.;k. A.;oft;Nein;nie;oft;gelegentlich;k. A.;nie;Ja;gelegentlich;gelegentlich;oft;selten;oft;oft;oft;oft;immer;selten;oft;gelegentlich;immer;immer;Nein;gelegentlich;gelegentlich;gelegentlich;nie;immer;oft;immer;k. A.;gelegentlich;oft;oft;nie;oft;k. A.;gelegentlich;oft;nie;oft;Nein;50-59;weiblich;Nein;;;;;Ja
1101395;Ja;Ministerium des Innern;Nein;selten;nie;nie;immer;k. A.;nie;immer;k. A.;k. A.;immer;immer;immer;immer;selten;k. A.;nie;nie;selten;nie;k. A.;immer;oft;gelegentlich;immer;oft;selten;oft;nie;nie;Nein;immer;immer;immer;immer;immer;immer;nie;Ja;nie;nie;nie;nie;k. A.;k. A.;immer;selten;selten;nie;Nein;18-29;männlich;Nein;;;;;Ja
1101396;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;;immer;k. A.;immer;gelegentlich;k. A.;oft;k. A.;k. A.;nie;oft;immer;oft;selten;k. A.;nie;selten;gelegentlich;immer;k. A.;immer;oft;oft;immer;nie;gelegentlich;selten;immer;gelegentlich;k. A.;nie;immer;immer;immer;oft;selten;gelegentlich;Ja;selten;gelegentlich;oft;k. A.;selten;k. A.;gelegentlich;gelegentlich;selten;immer;Nein;18-29;weiblich;Nein;;;;;Ja
1101398;Ja;Ministerium des Innern;Ja;immer;immer;immer;immer;immer;nie;immer;k. A.;;nie;immer;immer;immer;nie;Ja;gelegentlich;gelegentlich;immer;immer;immer;immer;immer;immer;immer;nie;immer;nie;immer;nie;Nein;nie;immer;immer;immer;immer;selten;immer;;gelegentlich;gelegentlich;immer;nie;immer;nie;gelegentlich;oft;selten;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1101399;Ja;Ministerium für Heimat, Kommunales, Bau und Digitalisierung;Nein;nie;nie;k. A.;oft;immer;k. A.;oft;k. A.;Ja;nie;k. A.;nie;immer;nie;Ja;selten;gelegentlich;oft;nie;immer;immer;immer;immer;immer;nie;oft;nie;gelegentlich;selten;Ja;nie;immer;oft;immer;immer;nie;selten;Ja;oft;oft;immer;nie;oft;nie;nie;immer;selten;k. A.;Ja;30-39;weiblich;Ja;Wohnung;Ohne Strom;1;1.200;Ja
1101400;Ja;Ministerium des Innern;Ja;oft;nie;nie;immer;immer;nie;immer;k. A.;Ja;nie;immer;oft;nie;k. A.;Ja;selten;nie;immer;oft;k. A.;immer;immer;immer;immer;nie;oft;gelegentlich;immer;gelegentlich;Ja;nie;nie;oft;nie;immer;immer;nie;Ja;oft;oft;selten;nie;oft;nie;oft;nie;gelegentlich;oft;Nein;50-59;weiblich;Ja;Haus;Mit Strom;3;3.500;Ja
1101401;Ja;Ministerium des Innern;Ja;immer;nie;selten;oft;oft;selten;selten;nie;Ja;nie;selten;gelegentlich;selten;nie;Ja;selten;selten;immer;nie;immer;immer;immer;nie;nie;nie;oft;immer;immer;selten;Ja;gelegentlich;selten;oft;selten;immer;oft;nie;Ja;selten;selten;nie;nie;nie;nie;immer;selten;nie;gelegentlich;Nein;50-59;männlich;Ja;Haus;Ohne Strom;2;5.000;Ja
1101402;Ja;Ministerium des Innern;Nein;immer;immer;nie;immer;immer;nie;immer;k. A.;Ja;nie;nie;immer;immer;gelegentlich;Ja;selten;gelegentlich;immer;immer;k. A.;immer;immer;immer;immer;immer;immer;immer;immer;immer;Ja;nie;immer;immer;immer;immer;gelegentlich;immer;Ja;oft;gelegentlich;immer;nie;oft;nie;nie;selten;k. A.;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;5;4.300;Ja
1101404;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;nie;oft;nie;immer;immer;nie;selten;nie;Nein;nie;immer;immer;nie;nie;Nein;nie;oft;nie;nie;nie;immer;immer;immer;nie;gelegentlich;nie;oft;nie;nie;Nein;nie;nie;immer;nie;immer;oft;nie;Nein;nie;nie;oft;nie;oft;nie;gelegentlich;oft;oft;selten;Nein;30-39;männlich;Ja;Wohnung;Mit Strom;1;580;Ja
1101407;Ja;Ministerium des Innern;Nein;immer;nie;nie;immer;immer;selten;immer;nie;Ja;nie;gelegentlich;gelegentlich;nie;gelegentlich;Ja;immer;gelegentlich;immer;nie;nie;immer;immer;gelegentlich;nie;selten;selten;gelegentlich;immer;nie;Ja;nie;nie;selten;nie;immer;gelegentlich;nie;Ja;immer;gelegentlich;gelegentlich;nie;k. A.;k. A.;immer;selten;nie;immer;Nein;40-49;männlich;Nein;;;;;Ja
1101408;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;nie;nie;nie;immer;immer;nie;gelegentlich;k. A.;Ja;nie;oft;oft;nie;nie;Ja;gelegentlich;oft;selten;nie;oft;oft;gelegentlich;selten;immer;immer;oft;nie;immer;nie;Ja;nie;oft;gelegentlich;nie;immer;gelegentlich;gelegentlich;Ja;oft;oft;immer;k. A.;immer;nie;selten;oft;selten;immer;Ja;50-59;weiblich;Ja;Haus;Ohne Strom;4;1.950;Ja
1101409;Ja;Ministerium des Innern;Ja;immer;gelegentlich;selten;immer;oft;oft;gelegentlich;k. A.;Ja;nie;gelegentlich;immer;immer;nie;Ja;gelegentlich;selten;oft;selten;immer;oft;oft;immer;immer;oft;immer;selten;immer;nie;Ja;nie;immer;immer;immer;;selten;;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;oft;selten;selten;oft;Nein;60-69;weiblich;Nein;;;;;Ja
1101411;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;immer;gelegentlich;nie;immer;immer;selten;oft;nie;Ja;nie;immer;immer;immer;gelegentlich;Ja;selten;selten;immer;gelegentlich;k. A.;immer;immer;gelegentlich;nie;nie;gelegentlich;nie;oft;nie;Ja;nie;immer;immer;immer;immer;oft;nie;Ja;gelegentlich;selten;immer;nie;selten;k. A.;oft;gelegentlich;gelegentlich;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1101412;Ja;Ministerium des Innern;Ja;oft;nie;gelegentlich;oft;gelegentlich;nie;nie;immer;Nein;gelegentlich;immer;oft;selten;nie;Ja;selten;gelegentlich;immer;selten;immer;immer;gelegentlich;gelegentlich;immer;selten;oft;gelegentlich;immer;selten;Nein;selten;immer;immer;gelegentlich;immer;immer;selten;Ja;gelegentlich;oft;oft;nie;gelegentlich;nie;oft;selten;selten;gelegentlich;Nein;50-59;weiblich;Nein;;;;;Ja
1101413;Ja;Ministerium des Innern;Ja;selten;nie;nie;immer;immer;nie;selten;nie;Ja;nie;selten;nie;k. A.;nie;Ja;gelegentlich;gelegentlich;selten;nie;k. A.;immer;immer;selten;oft;nie;gelegentlich;nie;immer;selten;Ja;nie;gelegentlich;nie;nie;immer;oft;selten;Ja;gelegentlich;gelegentlich;immer;nie;oft;k. A.;nie;oft;gelegentlich;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1101414;Nein;Ministerium des Innern;Nein;oft;nie;k. A.;oft;immer;nie;oft;k. A.;Nein;nie;gelegentlich;k. A.;nie;nie;Nein;gelegentlich;oft;immer;nie;immer;immer;immer;oft;gelegentlich;nie;oft;nie;immer;oft;k. A.;gelegentlich;nie;nie;nie;immer;immer;immer;Ja;oft;oft;oft;nie;nie;nie;gelegentlich;nie;nie;selten;Nein;40-49;weiblich;Nein;;;;;Ja
1101415;Ja;Ministerium des Innern;Nein;immer;oft;nie;immer;immer;selten;immer;k. A.;k. A.;selten;k. A.;;k. A.;nie;;k. A.;gelegentlich;immer;gelegentlich;k. A.;immer;immer;oft;oft;gelegentlich;oft;selten;immer;selten;k. A.;selten;immer;oft;gelegentlich;immer;gelegentlich;selten;Ja;k. A.;gelegentlich;immer;nie;k. A.;k. A.;selten;oft;nie;k. A.;Nein;18-29;weiblich;Nein;;;;;Ja
1101416;Ja;Ministerium des Innern;Ja;nie;nie;k. A.;immer;immer;immer;immer;;Ja;nie;immer;nie;k. A.;gelegentlich;k. A.;oft;oft;selten;selten;immer;immer;oft;immer;immer;nie;oft;oft;immer;nie;Nein;nie;immer;immer;immer;immer;gelegentlich;nie;Ja;oft;oft;nie;nie;immer;nie;selten;oft;nie;immer;Nein;50-59;männlich;Ja;Haus;Ohne Strom;4;4.500;Ja
1101417;Ja;Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie;Ja;selten;nie;nie;immer;selten;nie;immer;k. A.;Nein;gelegentlich;k. A.;k. A.;k. A.;selten;Ja;selten;oft;selten;nie;immer;oft;selten;nie;nie;nie;selten;gelegentlich;oft;nie;Nein;selten;immer;immer;immer;immer;oft;immer;Ja;selten;gelegentlich;immer;nie;immer;k. A.;nie;immer;gelegentlich;oft;Ja;30-39;männlich;Nein;;;;;Ja
1101418;Ja;Ministerium für Heimat, Kommunales, Bau und Digitalisierung;Ja;oft;nie;k. A.;immer;immer;oft;oft;immer;Ja;nie;immer;immer;gelegentlich;nie;Ja;selten;gelegentlich;immer;k. A.;k. A.;immer;immer;immer;gelegentlich;immer;oft;nie;immer;nie;Ja;nie;immer;immer;oft;immer;nie;;Ja;gelegentlich;gelegentlich;immer;nie;oft;nie;nie;oft;nie;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1101419;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Nein;nie;nie;nie;immer;immer;oft;oft;nie;Ja;nie;immer;immer;immer;nie;Ja;nie;nie;nie;nie;oft;immer;immer;oft;nie;nie;nie;selten;oft;oft;Ja;nie;immer;immer;immer;immer;nie;oft;Ja;nie;nie;nie;nie;nie;nie;immer;nie;oft;immer;Nein;30-39;männlich;Ja;Wohnung;Ohne Strom;1;1.100;Ja
1101420;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Nein;gelegentlich;nie;nie;gelegentlich;selten;nie;oft;k. A.;Nein;selten;selten;oft;nie;k. A.;k. A.;selten;gelegentlich;selten;nie;k. A.;immer;oft;gelegentlich;selten;nie;selten;oft;immer;gelegentlich;k. A.;selten;selten;oft;gelegentlich;immer;oft;nie;Ja;oft;oft;immer;k. A.;gelegentlich;nie;selten;gelegentlich;gelegentlich;immer;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;3;2.400;Ja
1101421;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;oft;nie;nie;immer;immer;nie;gelegentlich;k. A.;Ja;nie;nie;;nie;oft;Ja;selten;gelegentlich;oft;selten;oft;;immer;oft;oft;nie;selten;gelegentlich;selten;gelegentlich;Ja;nie;oft;immer;oft;oft;oft;gelegentlich;Ja;gelegentlich;oft;nie;nie;nie;k. A.;oft;selten;selten;gelegentlich;Nein;30-39;männlich;Ja;Wohnung;Ohne Strom;1;1.200;Ja
1101422;Ja;Ministerium des Innern;Ja;immer;oft;k. A.;immer;immer;nie;selten;immer;Ja;nie;oft;oft;oft;nie;Ja;selten;oft;oft;oft;k. A.;immer;oft;gelegentlich;gelegentlich;nie;gelegentlich;gelegentlich;selten;selten;Ja;nie;gelegentlich;oft;oft;oft;selten;selten;Ja;selten;oft;immer;nie;oft;nie;selten;oft;nie;oft;Ja;18-29;weiblich;Nein;;;;;Ja
1101423;Ja;Ministerium des Innern;Ja;immer;nie;nie;immer;selten;selten;;nie;Ja;nie;immer;immer;oft;nie;Ja;selten;gelegentlich;immer;nie;k. A.;immer;selten;oft;immer;nie;oft;nie;gelegentlich;nie;Ja;nie;immer;immer;oft;immer;oft;nie;Ja;gelegentlich;gelegentlich;immer;nie;oft;k. A.;selten;oft;selten;oft;Ja;18-29;weiblich;Nein;;;;;Ja
1101424;Ja;Ministerium der Finanzen;Ja;selten;nie;nie;immer;immer;nie;immer;k. A.;Ja;nie;nie;nie;nie;oft;Ja;nie;oft;immer;nie;nie;oft;immer;oft;immer;selten;immer;oft;gelegentlich;immer;Ja;nie;immer;nie;immer;immer;oft;immer;Ja;immer;immer;oft;nie;nie;k. A.;oft;selten;nie;oft;Nein;18-29;weiblich;Nein;;;;;Ja
1101425;Ja;Ministerium des Innern;Nein;nie;nie;k. A.;selten;immer;selten;nie;k. A.;Nein;nie;k. A.;selten;k. A.;nie;Ja;nie;gelegentlich;selten;gelegentlich;k. A.;oft;immer;selten;selten;nie;gelegentlich;k. A.;oft;gelegentlich;Ja;selten;selten;nie;nie;immer;immer;selten;k. A.;gelegentlich;gelegentlich;oft;nie;immer;nie;gelegentlich;gelegentlich;nie;oft;Nein;40-49;weiblich;Ja;Haus;Ohne Strom;2;6.000;Ja
1101427;Nein;Ministerium des Innern;Nein;oft;nie;nie;immer;oft;nie;gelegentlich;k. A.;Ja;nie;oft;gelegentlich;selten;selten;k. A.;nie;gelegentlich;oft;oft;immer;immer;oft;selten;immer;nie;k. A.;nie;immer;nie;Nein;nie;immer;oft;gelegentlich;immer;oft;nie;Ja;immer;oft;immer;nie;gelegentlich;gelegentlich;nie;immer;nie;k. A.;Ja;30-39;weiblich;Ja;Wohnung;Mit Strom;2;1.500;Ja
1101428;Ja;Ministerium des Innern;Ja;nie;selten;immer;immer;oft;immer;immer;k. A.;Ja;gelegentlich;immer;gelegentlich;selten;gelegentlich;k. A.;oft;selten;nie;gelegentlich;immer;oft;oft;oft;immer;selten;selten;nie;gelegentlich;nie;Ja;selten;immer;selten;gelegentlich;immer;gelegentlich;nie;Ja;oft;selten;nie;nie;nie;nie;oft;selten;gelegentlich;gelegentlich;Nein;18-29;weiblich;Nein;;;;;Ja
1101429;Ja;Ministerium des Innern;Ja;nie;nie;immer;immer;immer;selten;gelegentlich;k. A.;Nein;immer;immer;nie;nie;gelegentlich;Nein;oft;oft;nie;nie;k. A.;immer;immer;nie;gelegentlich;nie;selten;gelegentlich;;nie;Nein;immer;oft;selten;nie;immer;gelegentlich;selten;k. A.;oft;gelegentlich;immer;nie;gelegentlich;nie;nie;immer;oft;k. A.;Ja;30-39;männlich;Ja;Wohnung;Ohne Strom;1;950;Ja
1101431;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;selten;selten;selten;immer;immer;nie;selten;k. A.;Ja;nie;gelegentlich;oft;oft;nie;Ja;nie;gelegentlich;selten;selten;immer;oft;immer;selten;nie;nie;immer;nie;immer;nie;Ja;selten;oft;nie;nie;immer;oft;nie;Ja;nie;gelegentlich;immer;nie;oft;nie;selten;selten;nie;oft;Nein;50-59;männlich;Ja;Haus;Ohne Strom;3;3.600;Ja
1101432;Ja;Ministerium des Innern;Nein;nie;selten;gelegentlich;immer;immer;oft;oft;k. A.;;nie;immer;oft;selten;nie;Ja;selten;selten;oft;oft;immer;immer;immer;immer;immer;gelegentlich;immer;gelegentlich;gelegentlich;oft;Ja;nie;immer;immer;selten;oft;nie;oft;;;immer;nie;nie;nie;nie;immer;nie;nie;immer;Nein;60-69;weiblich;Nein;;;;;Ja
1101433;Ja;Ministerium des Innern;Nein;immer;gelegentlich;k. A.;immer;oft;k. A.;k. A.;k. A.;Nein;nie;k. A.;oft;k. A.;nie;Ja;selten;selten;selten;immer;k. A.;immer;immer;oft;immer;nie;oft;gelegentlich;oft;immer;Nein;gelegentlich;k. A.;oft;k. A.;oft;oft;selten;Ja;gelegentlich;gelegentlich;selten;nie;oft;k. A.;oft;selten;gelegentlich;immer;Nein;18-29;weiblich;Ja;Wohnung;Ohne Strom;2;2.300;Ja
1101434;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;oft;nie;selten;immer;immer;nie;immer;k. A.;Nein;nie;immer;oft;oft;selten;Ja;oft;gelegentlich;immer;nie;immer;immer;oft;oft;oft;nie;oft;nie;immer;nie;Nein;nie;immer;oft;oft;immer;gelegentlich;nie;Ja;gelegentlich;gelegentlich;nie;nie;oft;nie;gelegentlich;nie;nie;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1101435;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;immer;gelegentlich;immer;immer;immer;oft;immer;k. A.;;nie;selten;immer;nie;nie;Ja;nie;selten;immer;oft;k. A.;immer;immer;oft;gelegentlich;immer;immer;nie;k. A.;gelegentlich;Nein;selten;gelegentlich;immer;selten;immer;nie;gelegentlich;Ja;nie;selten;immer;nie;nie;nie;selten;nie;nie;oft;Nein;30-39;männlich;Ja;Haus;Ohne Strom;3;2.500;Ja
1101436;Ja;Ministerium für Arbeit, Gesundheit und Soziales;Ja;immer;nie;k. A.;immer;oft;k. A.;immer;k. A.;Nein;nie;immer;immer;nie;nie;k. A.;selten;selten;selten;nie;immer;selten;oft;selten;gelegentlich;nie;nie;oft;k. A.;nie;Nein;nie;immer;immer;gelegentlich;oft;selten;selten;Ja;gelegentlich;oft;nie;nie;nie;nie;gelegentlich;nie;nie;selten;Nein;30-39;männlich;Nein;;;;;Ja
1101439;Ja;Ministerium des Innern;Ja;gelegentlich;nie;nie;oft;immer;selten;selten;immer;Ja;nie;oft;gelegentlich;k. A.;nie;k. A.;nie;selten;selten;nie;immer;immer;immer;immer;nie;nie;gelegentlich;nie;selten;nie;Ja;nie;immer;gelegentlich;immer;oft;nie;nie;Ja;selten;selten;immer;nie;immer;nie;nie;immer;selten;immer;Nein;30-39;männlich;Nein;;;;;Ja
1101440;Ja;Ministerium für Umwelt, Naturschutz und Verkehr;Ja;immer;gelegentlich;k. A.;immer;oft;immer;oft;k. A.;Ja;selten;oft;immer;oft;gelegentlich;Ja;oft;immer;immer;gelegentlich;immer;immer;oft;immer;immer;gelegentlich;oft;nie;oft;oft;Ja;selten;immer;immer;oft;immer;gelegentlich;oft;Ja;oft;oft;immer;;oft;nie;selten;oft;nie;oft;Nein;60-69;männlich;Nein;;;;;Ja
1101441;Ja;Ministerium des Innern;Ja;immer;immer;nie;immer;immer;immer;immer;oft;Ja;gelegentlich;nie;immer;nie;nie;Ja;nie;selten;immer;immer;nie;immer;immer;immer;immer;nie;gelegentlich;nie;k. A.;oft;Ja;selten;immer;immer;immer;immer;gelegentlich;gelegentlich;;selten;selten;oft;k. A.;gelegentlich;k. A.;selten;oft;selten;oft;Ja;18-29;männlich;Ja;Haus;Ohne Strom;1;406;Ja
