id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
389;;;"Strandbad Tegeler See";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Schwarzer Weg 21";"13505 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-21 15:22:34";"2025-02-24 14:50:47"
390;;;"Strandbad Wannsee";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Wannseebadweg 25";"14129 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-22 15:22:34";"2025-02-24 14:50:47"
391;;;"Strandbad Weißensee";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Berliner Allee 155";"13088 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-23 15:22:34";"2025-02-24 14:50:48"
392;;;"Strandbad Wendenschloss";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Möllhausenufer 30";"12557 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-24 15:22:34";"2025-02-24 14:50:48"
393;;;"Sommerbad am Insulaner";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Munsterdamm 80";"12169 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-25 15:22:34";"2025-02-24 14:50:48"
394;;;"Sommerbad Humboldthain";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Wiesenstraße 1";"13357 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-26 15:22:34";"2025-02-24 14:50:49"
395;;;"Sommerbad Kreuzberg";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Prinzenstraße 113-119";"10969 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-27 15:22:34";"2025-02-24 14:50:49"
396;;;"Sommerbad Mariendorf";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Rixdorfer Straße 130";"12109 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-28 15:22:34";"2025-02-24 14:50:50"
397;;;"Sommerbad Neukölln";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Columbiadamm 160";"10965 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-29 15:22:34";"2025-02-24 14:50:50"
398;;;"Sommerbad Olympiastadion";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Olympischer Platz 3";"14053 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-30 15:22:34";"2025-02-24 14:50:51"
399;;;"Sommerbad Pankow";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Wolfhagener Straße 91-93";"13187 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-31 15:22:34";"2025-02-24 14:50:51"
400;;;"Sommerbad Staaken-West";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Brunsbüttler Damm 443";"13591 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2026-01-01 15:22:34";"2025-02-24 14:50:51"
401;;;"Sommerbad Wilmersdorf";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Forckenbeckstraße 14";"14199 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2026-01-02 15:22:34";"2025-02-24 14:50:52"
402;;;"Sommerbad Wuhlheide";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Treskowallee 211";"12459 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2026-01-03 15:22:34";"2025-02-24 14:50:52"
403;;;"Kleine Schwimmhalle Wuhlheide";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"An der Wuhlheide 161";"12459 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2026-01-04 15:22:34";"2025-02-24 14:50:53"
404;;;"Stadtbad Tiergarten";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Seydlitzstraße 7";"10557 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2026-01-05 15:22:34";"2025-02-24 14:50:53"
412;;Anschreiben;"ALBA Berlin";"Zur Zeit kein Angebot";;;www.albaberlin.de/spielplan;"Cantianstr. 24";"10437 Berlin";;Freizeit;"[""Familien""]";nein;;;;;fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-01-21 12:57:59";"2025-03-06 11:30:34"
439;;nein;"Black + White Musikschule";Musikschule;"Mögliche Teilnahme in diversen Kursen, z.B. Chor oder musikalische Frühförderung";"gratis oder 50% (auf Anfrage)";https://musikunterricht-charlottenburg.com/;"Tauroggener Str.6";"10589 Berlin";"[""Ja""]";Freizeit;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Julia Grellmann";info@black-und-white.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-01-30 09:56:17";"2025-02-14 14:01:49"
442;;ja;"asisi Panorama DIE MAUER";"Das Panorama DIE MAUER zeigt eine verdichtete Komposition des von Yadegar Asisi selbst erlebten Alltags im West-Berliner Stadtteil Kreuzberg der 1980er Jahre. An einem fiktiven Herbsttag erleben Sie Geschichten und Szenen, die sich direkt an der Berliner Mauer abgespielt haben: Menschen beim Wohnungsumzug, spielende Kinder, Mauertouristen, Graffiti-Maler und vieles mehr.";"Eintritt ins asisi Panorama Berlin, kostenlose Legende";"ermäßigter Eintritt";www.die-mauer.de;"Checkpiont Charlie, Friedrichstraße 205";"10117 Berlin";;Kultur;"[""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Vanessa-Julia Dietrich";service@die-mauer.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-01-30 14:37:00";"2025-01-30 17:25:54"
445;;nein;JugendKulturService;"Kulturelle Vielfalt für Berliner Familien";"Der Berliner FamilienPass bietet allen Berliner Familien rund 300 familienfreundliche Preisvorteile in Form von Ermäßigungscoupons.
Außerdem gibt es besondere Verlosungsangebote für Familien mit geringem Einkommen.";"Coupons in den Bereichen:
Sport und Spiel
Sehenswertes
Kultur
Familienleben
Außerhalb";https://www.jugendkulturservice.de/de/ferien-und-familienzeit/berliner-familienpass/;"Urbanstr. 100";"10967 Berlin";nein;Freizeit;"[""Familien""]";ja;Frau;"Jeanette Köhler";koehler@jugendkulturservice.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-01-30 16:48:37";"2025-02-28 11:11:33"
451;;nein;"Bezirksamt Pankow Begegnungsstätte für Jung und Alt - Husemannstr. 12";"Die Begegnungsstätte für Jung und Alt ist ein einladender Ort, an dem Menschen unterschiedlichen Alters zusammenkommen. Hier haben sie die Möglichkeit, sich zu treffen, miteinander zu reden und gemeinsam Aktivitäten zu genießen. Es werden oft Spiele, Workshops und Veranstaltungen angeboten, die für alle spannend sind. Die Begegnungsstätte ist für jeden offen. 

Die Öffnungszeiten sind:
Mo. bis Do.: 9:00 bis 17:00 Uhr
Fr: 9:00 bis 16:00 Uhr

Kommen Sie vorbei und erleben Sie die Gemeinschaft!";"Mal- und Zeichenkurse
Sport- und Bewegungskurse
Sprachkurse
Handarbeit
Frühstück
Beratung
Tanzen
Wandergruppe 
jahreszeitliche Angebote
u.v.w.";"kostenlos oder ermäßigt";http://www.berlin.de/ba-pankow/senioren;"Husemannstraße 12";"10435 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Susann Lenk-Ilte";Susan.Lenk-Ilte@ba-pankow.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 11:50:53";"2025-04-24 11:10:16"
454;;nein;"Bezirksamt Pankow Begegnungsstätte für Jung und Alt - Schönholzer Str. 10A";"Die Begegnungsstätte für Jung und Alt ist ein einladender Ort, an dem Menschen unterschiedlichen Alters zusammenkommen. Hier haben sie die Möglichkeit, sich zu treffen, miteinander zu reden und gemeinsam Aktivitäten zu genießen. Es werden oft Spiele, Workshops und Veranstaltungen angeboten, die für alle spannend sind. Die Begegnungsstätte ist für jeden offen. 

Die Öffnungszeiten sind:
Mo. bis Do.: 9:00 bis 17:00 Uhr
Fr: 9:00 bis 16:00 Uhr

Kommen Sie vorbei und erleben Sie die Gemeinschaft!";"Mal- und Zeichenkurse
Sport- und Bewegungskurse
Sprachkurse
Handarbeit
Frühstück
Beratung
Tanzen
Wandergruppe 
jahreszeitliche Angebote
u.v.w.";"kostenlos oder ermäßigt";http://www.berlin.de/ba-pankow/senioren;"Schönholzer Str. 10A";"13187 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Daniela Liedtke";Daniela.Liedtke@ba-pankow.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 11:55:08";"2025-04-24 10:47:20"
457;;nein;"Bezirksamt Pankow Begegnungsstätte für Jung und Alt - Paul-Robeson-Str. 15";"Die Begegnungsstätte für Jung und Alt ist ein einladender Ort, an dem Menschen unterschiedlichen Alters zusammenkommen. Hier haben sie die Möglichkeit, sich zu treffen, miteinander zu reden und gemeinsam Aktivitäten zu genießen. Es werden oft Spiele, Workshops und Veranstaltungen angeboten, die für alle spannend sind. Die Begegnungsstätte ist für jeden offen. 

Die Öffnungszeiten sind:
Mo. bis Do.: 9:00 bis 17:00 Uhr
Fr: 9:00 bis 16:00 Uhr

Kommen Sie vorbei und erleben Sie die Gemeinschaft";"Mal- und Zeichenkurse
Sport- und Bewegungskurse
Sprachkurse
Handarbeit
Frühstück
Beratung
Tanzen
Wandergruppe 
jahreszeitliche Angebote
u.v.w.";"kostenlos oder ermäßigt";http://www.berlin.de/ba-pankow/senioren;"Paul-Robson-Straße 15";"10439 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Kathrin Zimmermann";kathrin.zimmermann@ba-pankow.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 11:58:33";"2025-04-24 11:09:05"
460;;nein;"Bezirksamt Pankow Begegnungsstätte für Jung und Alt - Am Friedrichshain 15";"Die Begegnungsstätte für Jung und Alt ist ein einladender Ort, an dem Menschen unterschiedlichen Alters zusammenkommen. Hier haben sie die Möglichkeit, sich zu treffen, miteinander zu reden und gemeinsam Aktivitäten zu genießen. Es werden oft Spiele, Workshops und Veranstaltungen angeboten, die für alle spannend sind. Die Begegnungsstätte ist für jeden offen. 

Die Öffnungszeiten sind:
Mo. bis Do.: 9:00 bis 17:00 Uhr
Fr: 9:00 bis 16:00 Uhr

Kommen Sie vorbei und erleben Sie die Gemeinschaft!";"Mal- und Zeichenkurse
Sport- und Bewegungskurse
Sprachkurse
Handarbeit
Frühstück
Beratung
Tanzen
Wandergruppe 
jahreszeitliche Angebote
u.v.w.";"kostenlos oder ermäßigt";http://www.berlin.de/ba-pankow/senioren;"Am Friedrichshain 15";"10407 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene"",""SeniorInnen""]";ja;Herr;"Bernd Lissner";bernd.lissner@ba-pankow.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 12:00:46";"2025-04-24 10:55:17"
463;;nein;"Bezirksamt Pankow Begegnungsstätte für Jung und Alt - Tollerstr.5";"Die Begegnungsstätte für Jung und Alt ist ein einladender Ort, an dem Menschen unterschiedlichen Alters zusammenkommen. Hier haben sie die Möglichkeit, sich zu treffen, miteinander zu reden und gemeinsam Aktivitäten zu genießen. Es werden oft Spiele, Workshops und Veranstaltungen angeboten, die für alle spannend sind. Die Begegnungsstätte ist für jeden offen. 

Die Öffnungszeiten sind:
Mo. bis Do.: 9:00 bis 17:00 Uhr
Fr: 9:00 bis 16:00 Uhr

Kommen Sie vorbei und erleben Sie die Gemeinschaft!";"Mal- und Zeichenkurse
Sport- und Bewegungskurse
Sprachkurse
Handarbeit
Frühstück
Beratung
Tanzen
Wandergruppe 
jahreszeitliche Angebote
u.v.w.";"kostenlos oder ermäßigt";http://www.berlin.de/ba-pankow/senioren;"Tollerstraße 5";"13158 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Beate Schreier";beate.schreier@ba-pankow.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 12:03:13";"2025-04-24 11:08:11"
466;;nein;"Klassik in Spandau";"Klassik in Spandau ist über die Grenzen Spandaus und Berlins hinaus ein Begriff für künstlerisch hochwertige Konzerte. Die einzigartigen Räumlichkeiten auf der Zitadelle Spandau und im Carl Bechstein Saal, die sehr persönliche Atmosphäre und die sehr individuelle Betreuung der Künstlerinnen und Künstler verleihen der Konzertreihe ein einzigartiges Ambiente. Finanziert werden die Aktivitäten durch Sponsoren, Mitgliedsbeiträge und Eintrittskarten.";"Klassische Konzerte in einzigartiger Atmosphäre an verschiedenen Orten Spandaus.";"Ermäßigter Eintritt für alle Erwachsenen ab 18 Jahre. Pro Erwachsenem zusätzlich bis zu 2 Karten für junge Menschen bis 18 Jahre gratis. 
7 Euro für junge Menschen bis 28 Jahre bei Registrierung unter www.kisclub.de";https://www.klassik-in-spandau.de/;;;;Kultur;"[""Kinder und Jugendliche"",""Erwachsene""]";ja;Herr;"Matthias Lehmann";m.lehmann@klassik-in-spandau.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-04 21:38:37";"2025-03-07 14:07:35"
469;;nein;"Queer Bake&Cake";"Queer Bake&Cake ist ein Projekt der Emanzipatorischen Selbsthilfe e.V.
zur Förderung der Beziehungs- und Nachbarschafts-Arbeit für die LGBTIQA* Community.";"Wir treffen uns regelmäßig sonntags zum queeren Backen mit anschliessendem Kaffee-Klatsch und freuen uns immer über neue und alte Gesichter aus der LGBTQ+ Family!
Let's have some fun!";"Die Teilnahme ist kostenlos.";https://www.queerbakeandcake.de/;"Storkower Straße 158";"10407 Berlin";"[""Ja""]";Freizeit;"[""Erwachsene""]";ja;Herr;"Mike Falk";queerbakeandcake@gmx.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-05 12:39:47";"2025-02-06 11:18:22"
475;;nein;"Paula Panke e.V.";"Paula Panke e.V. unterstützt Frauen in allen Lebens- und Notsituationen. Sie finden Beratung und Hilfe bei rechtlichen, sozialen sowie seelischen Konflikten an den Standorten in Pankow und Weißensee. Es gibt offene Gruppen sowie Bildungs- und Kulturangebote. Zudem hilft der Verein Frauen/TINA* Personen (trans, inter, nonbinär und agender) und ihren Kinder in Gewaltsituationen und bietet Schutzplätze an.";"Lesungen, Workshops, Ausflüge, Gesprächskreise, Gruppenangebote";;https://www.paula-panke.de/veranstaltungen/;"Schulstr. 25";"13187 Berlin";"[""Ja""]";Kultur;"[""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Nadja Bungard";kommunikation@paula-panke.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-06 10:21:10";"2025-02-06 11:25:32"
478;;nein;Kino~Passion;"Kino~Passion ist eine monatliche Film- und Gesprächsreihe in der Passionskirche in Berlin-Kreuzberg, für Menschen mit keinem oder kleinem oder mittlerem oder großem Einkommen und Alle, die Lust auf großes Kino und Gespräch haben: 
Alte und Junge, Bürgerliche und Arme, Gesunde und Lahme, in Lederjacken oder Seidenblusen, Miniröcken oder Kapuzenpullovern...";"Kino~Passion ist eine monatliche Filmreihe in der Passionskirche in Kreuzberg, für Menschen mit keinem oder kleinem oder mittlerem oder großem Einkommen und Alle, die Lust auf großes Kino haben.";"Kostenfreier Kinobesuch";https://www.kino-passion.de/;"Passionskirche, Marheinekeplatz 1";"10961 Berlin Kreuzberg";"[""Ja""]";Kultur;"[""Erwachsene"",""SeniorInnen""]";ja;Keine;;kino-passion@gmx.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-07 08:02:03";"2025-02-07 11:05:57"
481;;nein;"Flughafen Tempelhof | Veranstaltungsreihe THFx";;"Das Talk-Format „THFx“ bietet spannende Impulse, faszinierende Geschichten und tiefgehende Diskussionen zu aktuellen Themen und historischen Ereignissen.";"Die Veranstaltungsreihe THFx ist kostenlos, Anmeldung über die Website erforderlich.";https://www.thf-berlin.de/aktuelles/veranstaltungen;"Flughafen Tempelhof | CHECK-IN Besucherzentrum, Platz der Luftbrücke 5, C2";"12101 Berlin";"[""Ja""]";Kultur;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Natalie Rapp";natalie.rapp@thf-berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-07 12:22:23";"2025-02-07 12:39:09"
484;;nein;"Flughafen Tempelhof | THF TOWER";"THF Tower mit Dachterrasse, ""schwebendem"" Treppenhaus und wechselnden Ausstellungen

Der neu sanierte, barrierefreie Tower bietet Ihnen ein unvergessliches Besuchserlebnis. Auf der holzgetäfelten Dachterrasse können Sie den Blick über Stadt und Feld schweifen lassen und dem Berliner Himmel ein Stück näher sein. Das historische und statisch erneuerte Treppenhaus, das auf der historischen Bausubstanz zu schweben scheint, führt Sie zur Ausstellungsfläche in der 6. Etage.";"Aussichtsplattform mit holzgetäfelter Dachterrasse und wechselnden Ausstellungen";"Freier Eintritt jeden 1. Sonntag im Monat 
 
Kinder und Jugendliche unter 18 Jahre frei
 
Geflüchtete Menschen mit Ankunftsnachweis frei
Aus der Ukraine geflüchtete Menschen nach Vorlage eines Reisepasses oder eines anderen Ausweisdokumentes frei

Ticketbuchung im Vorfeld empfohlen, siehe Website";https://www.thf-berlin.de/ihr-besuch/thf-tower#/;"Flughafen Tempelhof | THF TOWER, Tempelhofer Damm 45";"12101 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Natalie Rapp";natalie.rapp@thf-berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-07 12:30:02";"2025-02-07 12:38:40"
490;;nein;"Hochschule für Schauspielkunst Ernst Busch";"Die HfS Ernst Busch ist eine der renommiertesten Hochschulen der darstellenden Künste im deutschsprachigen Raum mit herausragendem internationalen Ruf. In den sechs Studiengängen der Theaterkünste stehen die Studierenden und ihre exzellente Ausbildung im Zentrum. Wenn Sie eine unserer Vorstellungen besuchen wollen, schauen Sie in unseren Kalender: www.hfs-berlin.de/kalender/.";"Der Eintritt zu allen Veranstaltungen der Hochschule für Schauspielkunst Ernst Busch ist frei. Informationen zur Ticketreservierung finden Sie auf unserer Homepage.";kostenfrei;www.hfs-berlin.de/kalender/;"Zinnowitzer Straße 11";"10115 Berlin";"[""Ja""]";Kultur;"[""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Laura Diehl";presse@hfs-berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-11 11:38:58";"2025-02-13 12:03:30"
493;;nein;"Luftschloss Tempelhofer Feld";"Ein Amphitheater für bis zu 400 Menschen mit einem Kulturprogramm, das so vielfältig ist wie die Hauptstadt selbst. Von Mai bis September bieten wir jedes Jahr Künstler*innen verschiedenster Sparten eine Bühne, Kulturinteressierten einen Erlebnisraum und Berlin einen besonderen historischen, wie auch modern zugänglichen Ort auf dem Tempelhofer Feld.
Dahinter steht das ATZE Musiktheater, das als Teil der freien künstlerischen Szene Berlins, Kindern und Familien seit 40 Jahren Musiktheater bietet.";"Alle Produktionen des ATZE Musiktheaters im Luftschloss Tempelhofer Feld";"&quot; &#039;3 Euro Ticket&#039; Nachweis-Inhaber*innen können je nach Verfügbarkeit ein ermäßigtes Ticket für Veranstaltungen kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.&quot;";https://luftschloss-tempelhoferfeld.de/;"Tempelhofer Feld";"12101 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Herr;"Andreas Peters";pr@atzeberlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-11 15:37:42";"2025-02-24 10:45:24"
496;;nein;"CityLAB Berlin";"Das CityLAB ist Berlins öffentliches Innovationslabor. An der Schnittstelle von Verwaltung, Wissenschaft, Wirtschaft und Zivilgesellschaft nutzen wir die Potenziale der Digitalisierung für eine gemeinwohlorientierte Stadtentwicklung – praxisnah und wirkungsorientiert. 

Wir sind eine zentrale Anlaufstelle für an der Digitalisierung interessierte Bürger:innen und Verwaltungsbeschäftigte gleichermaßen und bieten zahlreiche Angebote zur Ideenentwicklung, zum Prototyping und zum Wissenstransfer.";"Neu trifft Alt: Erlebe die Stadt der Zukunft im ehemaligen Flughafen Tempelhof. In unserer Ausstellung geben wir mit interaktiven Exponaten Einblicke in laufende Projekte des CityLAB und Partnerkreis.";"Die Ausstellung ist von Mittwoch bis Freitag, 10:00-17:00 kostenlos zu besichtigen. Wir bitten euch, vorab einen Zeitslot zu buchen. Gruppen über 5 Personen stellen bitte eine Anfrage an info@citylab-berlin.org";https://www.etermin.net/citylab-berlin;"Platz der Luftbrücke 4";"12101 Berlin";"[""Ja""]";"Bildung & Beratung";"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Keine;CityLAB;info@citylab-berlin.org;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-14 10:52:08";"2025-02-14 12:28:07"
499;;nein;Futurium;"Das Futurium ist ein Haus der Zukünfte. Unter einem Dach beherbergt es eine Ausstellung mit lebendigen Szenarien, ein Lab zum Ausprobieren und ein Forum für den gemeinschaftlichen Dialog. Absehbare, denkbare und wünschbare Zukunftsentwürfe werden im Futurium vorgestellt und diskutiert.";"Im Futurium dreht sich alles um die Frage: Wie wollen wir leben? In der Ausstellung könnt ihr mögliche Zukünfte entdecken, im Forum gemeinsam diskutieren und im Futurium Lab eigene Ideen ausprobieren.";"Der Eintritt ist kostenfrei, ebenso eine Großzahl an Veranstaltungen und Workshops für Jung und Alt. Bei kostenpflichtigen Workshops, Führungen und Veranstaltungen gelten Ermäßigungen für Schüler*innen, Personen in Ausbildung, Empfänger*innen von Transferleistungen, Inhaber*innen des Berlin-Passes, Bundesfreiwillige, Studierende sowie ab einem Schwerbehindertengrad ab 50. Begleitpersonen zahlen nichts.";https://futurium.de/;"Alexanderufer 2";"10117 Berlin";"[""Ja""]";Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Hannah Braun";public.relations@futurium.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-14 11:01:14";"2025-02-24 13:11:18"
